Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
113435   ,"Crossroads of Twilight (The Wheel of Time, #10)"                                        ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0312864590""" ,"=""9780312864590""" ,0         ,3.81           ,Tor Books                            ,Hardcover             ,704             ,2003           ,2003                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#7)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
140974   ,"The Path of Daggers (The Wheel of Time, #8)"                                            ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812550293""" ,"=""9780812550290""" ,0         ,3.91           ,Tor Books                            ,Mass Market Paperback ,685             ,1999           ,1998                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#6)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13888    ,"Knife of Dreams (The Wheel of Time, #11)"                                               ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812577566""" ,"=""9780812577563""" ,0         ,4.14           ,Tom Doherty Associates               ,Mass Market Paperback ,860             ,2006           ,2005                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#8)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13891    ,"Winter's Heart (The Wheel of Time, #9)"                                                 ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""081257558X""" ,"=""9780812575583""" ,0         ,3.94           ,Tor Fantasy                          ,Mass Market Paperback ,780             ,2002           ,2000                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#5)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13890    ,"A Crown of Swords (The Wheel of Time, #7)"                                              ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812550285""" ,"=""9780812550283""" ,0         ,4.03           ,Tor Books                            ,Mass Market Paperback ,880             ,1997           ,1996                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#11) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
35231    ,"Lord of Chaos (The Wheel of Time, #6)"                                                  ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812513754""" ,"=""9780812513752""" ,0         ,4.13           ,Tor Books                            ,Mass Market Paperback ,1011            ,1995           ,1994                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#9)  ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
7743175  ,"A Memory of Light (The Wheel of Time, #14)"                                             ,Robert Jordan               ,"Jordan, Robert"               ,Brandon Sanderson                                                        ,"=""0765325950""" ,"=""9780765325952""" ,0         ,4.50           ,Tor Books                            ,Hardcover             ,912             ,2013           ,2013                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#10) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
1166599  ,"The Gathering Storm (The Wheel of Time, #12)"                                           ,Robert Jordan               ,"Jordan, Robert"               ,Brandon Sanderson                                                        ,"=""0765302306""" ,"=""9780765302304""" ,0         ,4.36           ,Tor Books                            ,Hardcover             ,783             ,2009           ,2009                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#13) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13895    ,"The Fires of Heaven (The Wheel of Time, #5)"                                            ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""1857232097""" ,"=""9781857232097""" ,0         ,4.15           ,Orbit                                ,Paperback             ,912             ,1994           ,1993                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#14) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
8253920  ,"Towers of Midnight (The Wheel of Time, #13)"                                            ,Robert Jordan               ,"Jordan, Robert"               ,Brandon Sanderson                                                        ,"=""0765325942""" ,"=""9780765325945""" ,0         ,4.41           ,Tom Doherty Associates TOR Fantasy   ,Hardcover             ,863             ,2010           ,2010                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#12) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
233649   ,"The Great Hunt (The Wheel of Time, #2)"                                                 ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812517725""" ,"=""9780812517729""" ,0         ,4.22           ,Tor Books                            ,Mass Market Paperback ,705             ,1991           ,1990                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#17) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
9539     ,"The Shadow Rising (The Wheel of Time, #4)"                                              ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812513738""" ,"=""9780812513738""" ,0         ,4.23           ,Tom Doherty Tor Fantasy              ,Mass Market Paperback ,1007            ,1993           ,1992                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#15) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
