Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
64222    ,"Going Postal (Discworld, #33; Moist von Lipwig, #1)"                                    ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0060502932""" ,"=""9780060502935""" ,5         ,4.36           ,HarperTorch                          ,Mass Market Paperback ,394             ,2005           ,2004                      ,          ,2020/12/28 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
34497    ,"The Color of Magic (Discworld, #1; Rincewind, #1)"                                      ,Terry Pratchett             ,"Pratchett, Terry"             ,                                                                         ,"=""0060855924""" ,"=""9780060855925""" ,4         ,3.98           ,Harper                               ,Paperback             ,228             ,2005           ,1983                      ,          ,2020/12/28 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
12067    ,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"                    ,Terry Pratchett             ,"Pratchett, Terry"             ,Neil Gaiman                                                              ,"="""""           ,"="""""              ,5         ,4.24           ,William Morrow                       ,Mass Market Paperback ,491             ,2006           ,1990                      ,          ,2020/12/28 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
18007564 ,The Martian                                                                              ,Andy Weir                   ,"Weir, Andy"                   ,                                                                         ,"=""0804139024""" ,"=""9780804139021""" ,0         ,4.40           ,Crown                                ,Hardcover             ,384             ,2014           ,2012                      ,          ,2020/12/26 ,to-read                ,to-read (#4)                 ,to-read                ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
40604684 ,"The History of Bees (Klimakvartetten, #1)"                                              ,Maja Lunde                  ,"Lunde, Maja"                  ,Diane Oatley                                                             ,"="""""           ,"="""""              ,0         ,3.81           ,Touchstone                           ,Kindle Edition        ,353             ,2017           ,2015                      ,          ,2020/12/26 ,to-read                ,to-read (#4)                 ,to-read                ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
34928122 ,Artemis                                                                                  ,Andy Weir                   ,"Weir, Andy"                   ,                                                                         ,"=""0553448129""" ,"=""9780553448122""" ,3         ,3.66           ,Crown                                ,Hardcover             ,305             ,2017           ,2017                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
21913812 ,This Changes Everything: Capitalism vs. The Climate                                      ,Naomi Klein                 ,"Klein, Naomi"                 ,                                                                         ,"=""1451697384""" ,"=""9781451697384""" ,0         ,4.15           ,Simon  Schuster                      ,Hardcover             ,576             ,2014           ,2014                      ,          ,2020/12/26 ,to-read                ,to-read (#3)                 ,to-read                ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
11870085 ,The Fault in Our Stars                                                                   ,John Green                  ,"Green, John"                  ,                                                                         ,"="""""           ,"="""""              ,0         ,4.20           ,Dutton Books                         ,Hardcover             ,313             ,2012           ,2012                      ,          ,2020/12/26 ,to-read                ,to-read (#2)                 ,to-read                ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
968      ,"The Da Vinci Code (Robert Langdon, #2)"                                                 ,Dan Brown                   ,"Brown, Dan"                   ,                                                                         ,"="""""           ,"="""""              ,4         ,3.86           ,Anchor                               ,Paperback             ,489             ,2006           ,2003                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
15881    ,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"                             ,J.K. Rowling                ,"Rowling, J.K."                ,Mary GrandPré                                                            ,"=""0439064864""" ,"=""9780439064866""" ,4         ,4.43           ,Arthur A. Levine Books               ,Hardcover             ,341             ,1999           ,1998                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
375802   ,"Ender's Game (Ender's Saga, #1)"                                                        ,Orson Scott Card            ,"Card, Orson Scott"            ,"Stefan Rudnicki, Harlan Ellison"                                        ,"=""0812550706""" ,"=""9780812550702""" ,0         ,4.30           ,Macmillan Audio                      ,Audiobook             ,352             ,2004           ,1985                      ,          ,2020/12/26 ,to-read                ,to-read (#1)                 ,to-read                ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
1        ,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"                              ,J.K. Rowling                ,"Rowling, J.K."                ,                                                                         ,"="""""           ,"="""""              ,5         ,4.57           ,Scholastic Inc.                      ,Paperback             ,652             ,2006           ,2005                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
6        ,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"                                 ,J.K. Rowling                ,"Rowling, J.K."                ,Mary GrandPré                                                            ,"="""""           ,"="""""              ,4         ,4.56           ,Scholastic                           ,Paperback             ,734             ,2002           ,2000                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
5        ,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"                            ,J.K. Rowling                ,"Rowling, J.K."                ,Mary GrandPré                                                            ,"=""043965548X""" ,"=""9780439655484""" ,0         ,4.57           ,Scholastic Inc.                      ,Mass Market Paperback ,435             ,2004           ,1999                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
2767052  ,"The Hunger Games (The Hunger Games, #1)"                                                ,Suzanne Collins             ,"Collins, Suzanne"             ,                                                                         ,"=""0439023483""" ,"=""9780439023481""" ,3         ,4.33           ,Scholastic Press                     ,Hardcover             ,374             ,2008           ,2008                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
136251   ,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"                                ,J.K. Rowling                ,"Rowling, J.K."                ,                                                                         ,"="""""           ,"="""""              ,4         ,4.62           ,Arthur A. Levine Books               ,Hardcover             ,759             ,2007           ,2007                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,2          ,                ,               ,0            ,                       ,                           ,          ,                      ,
41811    ,The Caves of Steel (Robot #1)                                                            ,Isaac Asimov                ,"Asimov, Isaac"                ,                                                                         ,"="""""           ,"="""""              ,4         ,4.17           ,Voyager                              ,Mass Market Paperback ,206             ,1997           ,1954                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
228665   ,"The Eye of the World (The Wheel of Time, #1)"                                           ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0812511816""" ,"=""9780812511819""" ,4         ,4.17           ,Tor Books                            ,Mass Market Paperback ,814             ,1990           ,1990                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
5297     ,The Picture of Dorian Gray                                                               ,Oscar Wilde                 ,"Wilde, Oscar"                 ,Jeffrey Eugenides                                                        ,"="""""           ,"="""""              ,3         ,4.08           ,Random House: Modern Library         ,Paperback             ,272             ,2004           ,1890                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
5907     ,"The Hobbit, or There and Back Again"                                                    ,J.R.R. Tolkien              ,"Tolkien, J.R.R."              ,                                                                         ,"=""0618260307""" ,"=""9780618260300""" ,5         ,4.28           ,Houghton Mifflin                     ,Paperback             ,366             ,2002           ,1937                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
3        ,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"                               ,J.K. Rowling                ,"Rowling, J.K."                ,Mary GrandPré                                                            ,"="""""           ,"="""""              ,4         ,4.47           ,Scholastic Inc                       ,Hardcover             ,309             ,2003           ,1997                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
18135    ,Romeo and Juliet                                                                         ,William Shakespeare         ,"Shakespeare, William"         ,"Paavo Emil Cajander, Barbara A. Mowat, Paul Werstine"                   ,"=""0743477111""" ,"=""9780743477116""" ,4         ,3.75           ,Simon Schuster                       ,Paperback             ,301             ,2004           ,1595                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
1953     ,A Tale of Two Cities                                                                     ,Charles Dickens             ,"Dickens, Charles"             ,Richard Maxwell                                                          ,"=""0141439602""" ,"=""9780141439600""" ,4         ,3.85           ,Penguin Books                        ,Paperback             ,489             ,2003           ,1859                      ,          ,2020/12/26 ,                       ,                             ,read                   ,          ,        ,              ,1          ,                ,               ,0            ,                       ,                           ,          ,                      ,
