Time [s] - Voltage Capacitor	Voltage [V] - Voltage Capacitor	Time [s] - Voltage Source	Voltage [V] - Voltage Source
0	-2.2	0	-4.1
7.69E-05	-2.5	7.69E-05	-4.1
0.000154	-2.3	0.000154	4.1
0.000231	-1.5	0.000231	4.1
0.000308	-0.9	0.000308	4.1
0.000385	-0.3	0.000385	4.1
0.000462	0.1	0.000462	4.1
0.000538	0.5	0.000538	4.1
0.000615	0.9	0.000615	4.1
0.000692	1.2	0.000692	4.1
0.000769	1.5	0.000769	4.1
0.000846	1.8	0.000846	4.2
0.000923	2.1	0.000923	4.2
0.001	2.3	0.001	4.2
0.001077	2.5	0.001077	4.2
0.001154	2.3	0.001154	-4.1
0.001231	1.5	0.001231	-4.1
0.001308	0.9	0.001308	-4.1
0.001385	0.4	0.001385	-4.1
0.001461	-0.1	0.001461	-4.1
0.001538	-0.5	0.001538	-4.1
0.001615	-0.8	0.001615	-4.1
0.001692	-1.2	0.001692	-4.1
0.001769	-1.5	0.001769	-4.1
0.001846	-1.8	0.001846	-4.1
0.001923	-2	0.001923	-4.1
0.002	-2.3	0.002	-4.1
0.002077	-2.5	0.002077	-4.1
0.002154	-2.2	0.002154	4.1
0.002231	-1.4	0.002231	4.1
0.002308	-0.8	0.002308	4.1
0.002385	-0.3	0.002385	4.1
0.002461	0.2	0.002461	4.1
0.002538	0.6	0.002538	4.1
0.002615	0.9	0.002615	4.1
0.002692	1.3	0.002692	4.1
0.002769	1.6	0.002769	4.1
0.002846	1.8	0.002846	4.2
0.002923	2.1	0.002923	4.2
0.003	2.3	0.003	4.2
0.003077	2.6	0.003077	4.2
0.003154	2.2	0.003154	-4.1
0.003231	1.4	0.003231	-4.1
0.003308	0.8	0.003308	-4.1
0.003384	0.4	0.003384	-4.1
0.003461	-0.1	0.003461	-4.1
0.003538	-0.5	0.003538	-4.1
0.003615	-0.9	0.003615	-4.1
0.003692	-1.2	0.003692	-4.1
0.003769	-1.5	0.003769	-4.1
0.003846	-1.8	0.003846	-4.1
0.003923	-2.1	0.003923	-4.1
0.004	-2.3	0.004	-4.1
0.004077	-2.5	0.004077	-4.1
0.004154	-2.1	0.004154	4.1
0.004231	-1.3	0.004231	4.1
0.004308	-0.8	0.004308	4.1
0.004384	-0.3	0.004384	4.1
0.004461	0.2	0.004461	4.1
0.004538	0.6	0.004538	4.1
0.004615	1	0.004615	4.1
0.004692	1.3	0.004692	4.1
0.004769	1.6	0.004769	4.1
0.004846	1.9	0.004846	4.2
0.004923	2.1	0.004923	4.2
0.005	2.4	0.005	4.2
0.005077	2.6	0.005077	4.2
0.005154	2.1	0.005154	-4.1
0.005231	1.4	0.005231	-4.1
0.005307	0.8	0.005307	-4.1
0.005384	0.3	0.005384	-4.1
0.005461	-0.1	0.005461	-4.1
0.005538	-0.5	0.005538	-4.1
0.005615	-0.9	0.005615	-4.1
0.005692	-1.2	0.005692	-4.1
0.005769	-1.5	0.005769	-4.1
0.005846	-1.8	0.005846	-4.1
0.005923	-2.1	0.005923	-4.1
0.006	-2.3	0.006	-4.1
0.006077	-2.5	0.006077	-4.1
0.006154	-2	0.006154	4.1
0.006231	-1.3	0.006231	4.1
0.006307	-0.7	0.006307	4.1
0.006384	-0.2	0.006384	4.1
0.006461	0.2	0.006461	4.1
0.006538	0.7	0.006538	4.1
0.006615	1	0.006615	4.1
0.006692	1.3	0.006692	4.1
0.006769	1.6	0.006769	4.1
0.006846	1.9	0.006846	4.2
0.006923	2.1	0.006923	4.2
0.007	2.4	0.007	4.2
0.007077	2.6	0.007077	4.2
0.007154	2.1	0.007154	-4.1
0.00723	1.3	0.00723	-4.1
0.007307	0.7	0.007307	-4.1
0.007384	0.3	0.007384	-4.1
0.007461	-0.2	0.007461	-4.1
0.007538	-0.6	0.007538	-4.1
0.007615	-1	0.007615	-4.1
