Time [s] - Voltage Capacitor	Voltage [V] - Voltage Capacitor	Time [s] - Voltage Source	Voltage [V] - Voltage Source
0	4	0	4.2
7.69E-05	4	7.69E-05	4.2
0.000154	4	0.000154	4.2
0.000231	4.1	0.000231	4.2
0.000308	4.1	0.000308	4.2
0.000385	4.1	0.000385	4.2
0.000462	4.1	0.000462	4.2
0.000538	4.1	0.000538	4.2
0.000615	4.1	0.000615	4.2
0.000692	4.1	0.000692	4.2
0.000769	4.1	0.000769	4.2
0.000846	4.1	0.000846	4.2
0.000923	4.1	0.000923	4.2
0.001	4.1	0.001	4.2
0.001077	4.1	0.001077	4.2
0.001154	4.1	0.001154	4.2
0.001231	4.1	0.001231	4.2
0.001308	4.1	0.001308	4.2
0.001385	4.1	0.001385	4.2
0.001461	4.1	0.001461	4.2
0.001538	4.1	0.001538	4.2
0.001615	4.1	0.001615	4.2
0.001692	4.2	0.001692	4.2
0.001769	3.9	0.001769	-4.1
0.001846	3	0.001846	-4.1
0.001923	2.3	0.001923	-4.1
0.002	1.8	0.002	-4.1
0.002077	1.3	0.002077	-4.1
0.002154	0.9	0.002154	-4.1
0.002231	0.6	0.002231	-4.1
0.002308	0.3	0.002308	-4.1
0.002385	0	0.002385	-4.1
0.002461	-0.3	0.002461	-4.1
0.002538	-0.6	0.002538	-4.1
0.002615	-0.8	0.002615	-4.1
0.002692	-1.1	0.002692	-4.1
0.002769	-1.3	0.002769	-4.1
0.002846	-1.5	0.002846	-4.1
0.002923	-1.7	0.002923	-4.1
0.003	-1.9	0.003	-4.1
0.003077	-2	0.003077	-4.1
0.003154	-2.2	0.003154	-4.1
0.003231	-2.3	0.003231	-4.1
0.003308	-2.5	0.003308	-4.1
0.003384	-2.6	0.003384	-4.1
0.003461	-2.8	0.003461	-4.1
0.003538	-2.9	0.003538	-4.1
0.003615	-3	0.003615	-4.1
0.003692	-3.1	0.003692	-4.1
0.003769	-3.2	0.003769	-4.1
0.003846	-3.3	0.003846	-4.1
0.003923	-3.4	0.003923	-4.1
0.004	-3.4	0.004	-4.1
0.004077	-3.5	0.004077	-4.1
0.004154	-3.6	0.004154	-4.1
0.004231	-3.6	0.004231	-4.1
0.004308	-3.7	0.004308	-4.1
0.004384	-3.7	0.004384	-4.1
0.004461	-3.8	0.004461	-4.1
0.004538	-3.8	0.004538	-4.1
0.004615	-3.8	0.004615	-4.1
0.004692	-3.9	0.004692	-4.1
0.004769	-3.9	0.004769	-4.1
0.004846	-3.9	0.004846	-4.1
0.004923	-3.9	0.004923	-4.1
0.005	-4	0.005	-4.1
0.005077	-4	0.005077	-4.1
0.005154	-4	0.005154	-4.1
0.005231	-4	0.005231	-4.1
0.005307	-4	0.005307	-4.1
0.005384	-4	0.005384	-4.1
0.005461	-4	0.005461	-4.1
0.005538	-4	0.005538	-4.1
0.005615	-4	0.005615	-4.1
0.005692	-4.1	0.005692	-4.1
0.005769	-4.1	0.005769	-4.1
0.005846	-4.1	0.005846	-4.1
0.005923	-4.1	0.005923	-4.1
0.006	-4.1	0.006	-4.1
0.006077	-4.1	0.006077	-4.1
0.006154	-4.1	0.006154	-4.1
0.006231	-4.1	0.006231	-4.1
0.006307	-4.1	0.006307	-4.1
0.006384	-4.1	0.006384	-4.1
0.006461	-4.1	0.006461	-4.1
0.006538	-4.1	0.006538	-4.1
0.006615	-4.1	0.006615	-4.1
0.006692	-4.1	0.006692	-4.1
0.006769	-3.4	0.006769	4.1
0.006846	-2.6	0.006846	4.1
0.006923	-2	0.006923	4.1
0.007	-1.5	0.007	4.1
0.007077	-1.1	0.007077	4.1
0.007154	-0.7	0.007154	4.1
0.00723	-0.4	0.00723	4.1
0.007307	-0.1	0.007307	4.1
0.007384	0.2	0.007384	4.1
0.007461	0.5	0.007461	4.1
0.007538	0.8	0.007538	4.1
0.007615	1	0.007615	4.2
0.007692	1.2	0.007692	4.2
0.007769	1.4	0.007769	4.2
0.007846	1.6	0.007846	4.2
0.007923	1.8	0.007923	4.2
0.008	2	0.008	4.2
0.008077	2.2	0.008077	4.2
0.008154	2.3	0.008154	4.2
0.00823	2.5	0.00823	4.2
0.008307	2.6	0.008307	4.2
0.008384	2.7	0.008384	4.2
0.008461	2.9	0.008461	4.2
0.008538	3	0.008538	4.2
0.008615	3.1	0.008615	4.2
0.008692	3.2	0.008692	4.2
0.008769	3.3	0.008769	4.2
0.008846	3.4	0.008846	4.2
0.008923	3.5	0.008923	4.2
0.009	3.5	0.009	4.2
0.009077	3.6	0.009077	4.2
0.009153	3.6	0.009153	4.2
0.00923	3.7	0.00923	4.2
0.009307	3.8	0.009307	4.2
0.009384	3.8	0.009384	4.2
0.009461	3.8	0.009461	4.2
0.009538	3.9	0.009538	4.2
0.009615	3.9	0.009615	4.2
0.009692	3.9	0.009692	4.2
0.009769	4	0.009769	4.2
0.009846	4	0.009846	4.2
0.009923	4	0.009923	4.2
0.01	4	0.01	4.2
0.010077	4	0.010077	4.2
0.010153	4	0.010153	4.2
0.01023	4.1	0.01023	4.2
0.010307	4.1	0.010307	4.2
0.010384	4.1	0.010384	4.2
0.010461	4.1	0.010461	4.2
0.010538	4.1	0.010538	4.2
0.010615	4.1	0.010615	4.2
0.010692	4.1	0.010692	4.2
