Date       ,Name                                                                 ,Year ,Letterboxd URI
2020-12-31 ,V for Vendetta                                                       ,2005 ,https://boxd.it/29Ik
2020-12-31 ,Kiki's Delivery Service                                              ,1989 ,https://boxd.it/1JAY
2020-12-31 ,The King of Staten Island                                            ,2020 ,https://boxd.it/litG
2020-12-31 ,Frozen II                                                            ,2019 ,https://boxd.it/aPvo
2020-12-31 ,Annihilation                                                         ,2018 ,https://boxd.it/9yzm
2020-12-31 ,The Usual Suspects                                                   ,1995 ,https://boxd.it/29XE
2020-12-31 ,Groundhog Day                                                        ,1993 ,https://boxd.it/2b3e
2020-12-31 ,Euphoria: Trouble Don't Last Always                                  ,2020 ,https://boxd.it/ta4a
2020-12-31 ,Train to Busan                                                       ,2016 ,https://boxd.it/dSQU
2020-12-31 ,Eighth Grade                                                         ,2018 ,https://boxd.it/hDMG
2020-12-31 ,The Sixth Sense                                                      ,1999 ,https://boxd.it/29Js
2020-12-31 ,John Wick: Chapter 3 - Parabellum                                    ,2019 ,https://boxd.it/gmFw
2020-12-31 ,How to Train Your Dragon                                             ,2010 ,https://boxd.it/1WRy
2020-12-31 ,Ad Astra                                                             ,2019 ,https://boxd.it/ePzI
2020-12-31 ,John Wick: Chapter 2                                                 ,2017 ,https://boxd.it/ayGu
2020-12-31 ,Doctor Sleep                                                         ,2019 ,https://boxd.it/i5vI
2020-12-31 ,"Synecdoche, New York"                                               ,2008 ,https://boxd.it/23zw
2020-12-31 ,Sonic the Hedgehog                                                   ,2020 ,https://boxd.it/gdK8
2020-12-31 ,The Life Aquatic with Steve Zissou                                   ,2004 ,https://boxd.it/2aqw
2020-12-31 ,Jennifer's Body                                                      ,2009 ,https://boxd.it/1Efw
2020-12-31 ,The Darjeeling Limited                                               ,2007 ,https://boxd.it/24as
2020-12-31 ,Hacksaw Ridge                                                        ,2016 ,https://boxd.it/azew
2020-12-31 ,Lucy                                                                 ,2014 ,https://boxd.it/75hu
