 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1001.50	0.32	
1003.00	0.32	
1004.50	0.32	
1006.00	0.32	
1007.50	0.32	
1009.00	0.32	
1010.50	0.32	
1012.00	0.32	
1013.50	0.32	
1015.00	0.32	
1016.50	0.32	
1018.00	0.32	
1019.50	0.32	
1021.00	0.33	
1022.50	0.33	
1024.00	0.33	
1025.50	0.33	
1027.00	0.33	
1028.50	0.33	
1030.00	0.33	
1031.50	0.33	
1033.00	0.33	
1034.50	0.33	
1036.00	0.33	
1037.50	0.33	
1039.00	0.33	
1040.50	0.33	
1042.00	0.33	
1043.50	0.33	
1045.00	0.33	
1046.50	0.33	
1048.00	0.33	
1049.50	0.33	
1051.00	0.34	
1052.50	0.34	
1054.00	0.34	
1055.50	0.34	
1057.00	0.34	
1058.50	0.34	
1060.00	0.34	
1061.50	0.34	
1063.00	0.34	
1064.50	0.34	
1066.00	0.34	
1067.50	0.34	
1069.00	0.34	
1070.50	0.34	
1072.00	0.34	
1073.50	0.34	
1075.00	0.34	
1076.50	0.34	
1078.00	0.34	
1079.50	0.34	
1081.00	0.34	
1082.50	0.35	
1084.00	0.35	
1085.50	0.35	
1087.00	0.35	
1088.50	0.35	
1090.00	0.35	
1091.50	0.35	
1093.00	0.35	
1094.50	0.35	
1096.00	0.35	
1097.50	0.35	
1099.00	0.35	
1100.50	0.35	
1102.00	0.35	
1103.50	0.35	
1105.00	0.35	
1106.50	0.35	
1108.00	0.35	
1109.50	0.35	
1111.00	0.35	
1112.50	0.35	
1114.00	0.36	
1115.50	0.36	
1117.00	0.36	
1118.50	0.36	
1120.00	0.36	
1121.50	0.36	
1123.00	0.36	
1124.50	0.36	
1126.00	0.36	
1127.50	0.36	
1129.00	0.36	
1130.50	0.36	
1132.00	0.36	
1133.50	0.36	
1135.00	0.36	
1136.50	0.36	
1138.00	0.36	
1139.50	0.36	
1141.00	0.36	
1142.50	0.36	
1144.00	0.36	
1145.50	0.37	
1147.00	0.37	
1148.50	0.37	
1150.00	0.37	
1151.50	0.37	
1153.00	0.37	
1154.50	0.37	
1156.00	0.37	
1157.50	0.37	
1159.00	0.37	
1160.50	0.37	
1162.00	0.37	
1163.50	0.37	
1165.00	0.37	
1166.50	0.37	
1168.00	0.37	
1169.50	0.37	
1171.00	0.37	
1172.50	0.37	
1174.00	0.37	
1175.50	0.37	
1177.00	0.37	
1178.50	0.38	
1180.00	0.38	
1181.50	0.38	
1183.00	0.38	
1184.50	0.38	
1186.00	0.38	
1187.50	0.38	
1189.00	0.38	
1190.50	0.38	
1192.00	0.38	
1193.50	0.38	
1195.00	0.38	
1196.50	0.38	
1198.00	0.38	
1199.50	0.38	
1201.00	0.38	
1202.50	0.38	
1204.00	0.38	
1205.50	0.38	
1207.00	0.38	
1208.50	0.38	
1210.00	0.38	
1211.50	0.39	
1213.00	0.39	
1214.50	0.39	
1216.00	0.39	
1217.50	0.39	
1219.00	0.39	
1220.50	0.39	
1222.00	0.39	
1223.50	0.39	
1225.00	0.39	
1226.50	0.39	
1228.00	0.39	
1229.50	0.39	
1231.00	0.39	
1232.50	0.39	
1234.00	0.39	
1235.50	0.39	
1237.00	0.39	
1238.50	0.39	
1240.00	0.39	
1241.50	0.39	
1243.00	0.39	
1244.50	0.39	
1246.00	0.40	
1247.50	0.40	
1249.00	0.40	
1250.50	0.40	
1252.00	0.40	
1253.50	0.40	
1255.00	0.40	
1256.50	0.40	
1258.00	0.40	
1259.50	0.40	
1261.00	0.40	
1262.50	0.40	
1264.00	0.40	
1265.50	0.40	
1267.00	0.40	
1268.50	0.40	
1270.00	0.40	
1271.50	0.40	
1273.00	0.40	
1274.50	0.40	
1276.00	0.40	
1277.50	0.40	
1279.00	0.40	
1280.50	0.40	
1282.00	0.41	
1283.50	0.41	
1285.00	0.41	
1286.50	0.41	
1288.00	0.41	
1289.50	0.41	
1291.00	0.41	
1292.50	0.41	
1294.00	0.41	
1295.50	0.41	
1297.00	0.41	
1298.50	0.41	
1300.00	0.41	
1301.50	0.41	
1303.00	0.41	
1304.50	0.41	
1306.00	0.41	
1307.50	0.41	
1309.00	0.41	
1310.50	0.41	
1312.00	0.41	
1313.50	0.41	
1315.00	0.41	
1316.50	0.41	
1318.00	0.42	
1319.50	0.42	
1321.00	0.42	
1322.50	0.42	
1324.00	0.42	
1325.50	0.42	
1327.00	0.42	
1328.50	0.42	
1330.00	0.42	
1331.50	0.42	
1333.00	0.42	
1334.50	0.42	
1336.00	0.42	
1337.50	0.42	
1339.00	0.42	
1340.50	0.42	
1342.00	0.42	
1343.50	0.42	
1345.00	0.42	
1346.50	0.42	
1348.00	0.42	
1349.50	0.42	
1351.00	0.42	
1352.50	0.42	
1354.00	0.42	
1355.50	0.42	
1357.00	0.43	
1358.50	0.43	
1360.00	0.43	
1361.50	0.43	
