 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1475.50	0.13	
1477.00	0.12	
1478.50	0.12	
1480.00	0.12	
1481.50	0.12	
1483.00	0.12	
1484.50	0.12	
1486.00	0.12	
1487.50	0.12	
1489.00	0.12	
1490.50	0.12	
1492.00	0.12	
1493.50	0.12	
1495.00	0.12	
1496.50	0.12	
1498.00	0.12	
1499.50	0.12	
1501.00	0.12	
1502.50	0.12	
1504.00	0.12	
1505.50	0.12	
1507.00	0.12	
1508.50	0.12	
1510.00	0.11	
1511.50	0.11	
1513.00	0.11	
1514.50	0.11	
1516.00	0.11	
1517.50	0.11	
1519.00	0.11	
1520.50	0.11	
1522.00	0.11	
1523.50	0.11	
1525.00	0.11	
1526.50	0.11	
1528.00	0.11	
1529.50	0.11	
1531.00	0.11	
1532.50	0.11	
1534.00	0.11	
1535.50	0.11	
1537.00	0.11	
1538.50	0.11	
1540.00	0.11	
1541.50	0.11	
1543.00	0.11	
1544.50	0.10	
1546.00	0.10	
1547.50	0.10	
1549.00	0.10	
1550.50	0.10	
1552.00	0.10	
1553.50	0.10	
1555.00	0.10	
1556.50	0.10	
1558.00	0.10	
1559.50	0.10	
1561.00	0.10	
1562.50	0.10	
1564.00	0.10	
1565.50	0.10	
1567.00	0.10	
1568.50	0.10	
1570.00	0.10	
1571.50	0.10	
1573.00	0.10	
1574.50	0.10	
1576.00	0.10	
1577.50	0.10	
1579.00	0.09	
1580.50	0.09	
1582.00	0.09	
1583.50	0.09	
1585.00	0.09	
1586.50	0.09	
1588.00	0.09	
1589.50	0.09	
1591.00	0.09	
1592.50	0.09	
1594.00	0.09	
1595.50	0.09	
1597.00	0.09	
1598.50	0.09	
1600.00	0.09	
1601.50	0.09	
1603.00	0.09	
1604.50	0.09	
1606.00	0.09	
1607.50	0.09	
1609.00	0.09	
1610.50	0.09	
1612.00	0.09	
1613.50	0.08	
1615.00	0.08	
1616.50	0.08	
1618.00	0.08	
1619.50	0.08	
1621.00	0.08	
1622.50	0.08	
1624.00	0.08	
1625.50	0.08	
1627.00	0.08	
1628.50	0.08	
1630.00	0.08	
1631.50	0.08	
1633.00	0.08	
1634.50	0.08	
1636.00	0.08	
1637.50	0.08	
1639.00	0.08	
1640.50	0.08	
1642.00	0.08	
1643.50	0.08	
1645.00	0.08	
1646.50	0.08	
1648.00	0.08	
1649.50	0.07	
1651.00	0.07	
1652.50	0.07	
1654.00	0.07	
1655.50	0.07	
1657.00	0.07	
1658.50	0.07	
1660.00	0.07	
1661.50	0.07	
1663.00	0.07	
1664.50	0.07	
1666.00	0.07	
1667.50	0.07	
1669.00	0.07	
1670.50	0.07	
1672.00	0.07	
1673.50	0.07	
1675.00	0.07	
1676.50	0.07	
1678.00	0.07	
1679.50	0.07	
1681.00	0.07	
1682.50	0.07	
1684.00	0.07	
1685.50	0.06	
1687.00	0.06	
1688.50	0.06	
1690.00	0.06	
1691.50	0.06	
1693.00	0.06	
1694.50	0.06	
1696.00	0.06	
1697.50	0.06	
1699.00	0.06	
1700.50	0.06	
1702.00	0.06	
1703.50	0.06	
1705.00	0.06	
1706.50	0.06	
1708.00	0.06	
1709.50	0.06	
1711.00	0.06	
1712.50	0.06	
1714.00	0.06	
1715.50	0.06	
1717.00	0.06	
1718.50	0.06	
1720.00	0.06	
1721.50	0.06	
1723.00	0.05	
1724.50	0.05	
1726.00	0.05	
1727.50	0.05	
1729.00	0.05	
1730.50	0.05	
1732.00	0.05	
1733.50	0.05	
1735.00	0.05	
1736.50	0.05	
1738.00	0.05	
1739.50	0.05	
1741.00	0.05	
1742.50	0.05	
1744.00	0.05	
1745.50	0.05	
1747.00	0.05	
1748.50	0.05	
1750.00	0.05	
1751.50	0.05	
1753.00	0.05	
1754.50	0.05	
1756.00	0.05	
1757.50	0.05	
1759.00	0.05	
1760.50	0.04	
1762.00	0.04	
1763.50	0.04	
1765.00	0.04	
1766.50	0.04	
1768.00	0.04	
1769.50	0.04	
1771.00	0.04	
1772.50	0.04	
1774.00	0.04	
1775.50	0.04	
1777.00	0.04	
1778.50	0.04	
1780.00	0.04	
1781.50	0.04	
1783.00	0.04	
1784.50	0.04	
1786.00	0.04	
1787.50	0.04	
1789.00	0.04	
1790.50	0.04	
1792.00	0.04	
1793.50	0.04	
1795.00	0.04	
1796.50	0.04	
1798.00	0.03	
1799.50	0.03	
1801.00	0.03	
1802.50	0.03	
1804.00	0.03	
1805.50	0.03	
1807.00	0.03	
1808.50	0.03	
1810.00	0.03	
1811.50	0.03	
1813.00	0.03	
1814.50	0.03	
1816.00	0.03	
1817.50	0.03	
1819.00	0.03	
1820.50	0.03	
1822.00	0.03	
1823.50	0.03	
1825.00	0.03	
1826.50	0.03	
1828.00	0.03	
1829.50	0.03	
1831.00	0.03	
1832.50	0.03	
1834.00	0.03	
1835.50	0.03	
1837.00	0.02	
1838.50	0.02	
1840.00	0.02	
1841.50	0.02	
1843.00	0.02	
1844.50	0.02	
1846.00	0.02	
1847.50	0.02	
1849.00	0.02	
1850.50	0.02	
1852.00	0.02	
1853.50	0.02	
1855.00	0.02	
1856.50	0.02	
1858.00	0.02	
1859.50	0.02	
1861.00	0.02	
1862.50	0.02	
1864.00	0.02	
1865.50	0.02	
1867.00	0.02	
1868.50	0.02	
1870.00	0.02	
1871.50	0.02	
1873.00	0.02	
1874.50	0.02	
1876.00	0.01	
1877.50	0.01	
1879.00	0.01	
1880.50	0.01	
1882.00	0.01	
1883.50	0.01	
1885.00	0.01	
1886.50	0.01	
1888.00	0.01	
1889.50	0.01	
1891.00	0.01	
1892.50	0.01	
1894.00	0.01	
1895.50	0.01	
1897.00	0.01	
1898.50	0.01	
1900.00	0.01	
1901.50	0.01	
1903.00	0.01	
1904.50	0.01	
1906.00	0.01	
1907.50	0.01	
1909.00	0.01	
1910.50	0.01	
1912.00	0.01	
1913.50	0.01	
1915.00	0.01	
1916.50	0.00	
1918.00	0.00	
1919.50	0.00	
1921.00	0.00	
1922.50	0.00	
1924.00	0.00	
1925.50	0.00	
1927.00	0.00	
1928.50	0.00	
1930.00	0.00	
1931.50	0.00	
1933.00	0.00	
1934.50	0.00	
1936.00	0.00	
1937.50	0.00	
1939.00	0.00	
1940.50	0.00	
1942.00	0.00	
1943.50	0.00	
1945.00	0.00	
1946.50	0.00	
1948.00	0.00	
1949.50	0.00	
1951.00	0.00	
1952.50	0.00	
1954.00	0.00	
1955.50	0.00	
1957.00	0.00	
1958.50	0.01	
1960.00	0.01	
1961.50	0.01	
1963.00	0.01	
1964.50	0.01	
1966.00	0.01	
1967.50	0.01	
1969.00	0.01	
1970.50	0.01	
1972.00	0.01	
1973.50	0.01	
1975.00	0.01	
1976.50	0.01	
1978.00	0.01	
1979.50	0.01	
1981.00	0.01	
1982.50	0.01	
1984.00	0.01	
1985.50	0.01	
1987.00	0.01	
1988.50	0.01	
1990.00	0.01	
1991.50	0.01	
1993.00	0.01	
1994.50	0.01	
1996.00	0.01	
1997.50	0.01	
1999.00	0.01	
2000.50	0.02	
2002.00	0.02	
2003.50	0.02	
2005.00	0.02	
2006.50	0.02	
2008.00	0.02	
2009.50	0.02	
2011.00	0.02	
2012.50	0.02	
2014.00	0.02	
2015.50	0.02	
2017.00	0.02	
2018.50	0.02	
2020.00	0.02	
2021.50	0.02	
2023.00	0.02	
2024.50	0.02	
2026.00	0.02	
2027.50	0.02	
2029.00	0.02	
2030.50	0.02	
2032.00	0.02	
2033.50	0.02	
2035.00	0.02	
2036.50	0.02	
2038.00	0.02	
2039.50	0.02	
2041.00	0.02	
2042.50	0.03	
2044.00	0.03	
2045.50	0.03	
2047.00	0.03	
2048.50	0.03	
2050.00	0.03	
2051.50	0.03	
2053.00	0.03	
2054.50	0.03	
2056.00	0.03	
2057.50	0.03	
2059.00	0.03	
2060.50	0.03	
2062.00	0.03	
2063.50	0.03	
2065.00	0.03	
2066.50	0.03	
2068.00	0.03	
2069.50	0.03	
2071.00	0.03	
2072.50	0.03	
2074.00	0.03	
2075.50	0.03	
2077.00	0.03	
2078.50	0.03	
2080.00	0.03	
2081.50	0.03	
2083.00	0.03	
2084.50	0.03	
2086.00	0.03	
2087.50	0.04	
2089.00	0.04	
2090.50	0.04	
2092.00	0.04	
2093.50	0.04	
2095.00	0.04	
2096.50	0.04	
2098.00	0.04	
2099.50	0.04	
2101.00	0.04	
2102.50	0.04	
2104.00	0.04	
2105.50	0.04	
2107.00	0.04	
2108.50	0.04	
2110.00	0.04	
2111.50	0.04	
2113.00	0.04	
2114.50	0.04	
2116.00	0.04	
2117.50	0.04	
2119.00	0.04	
2120.50	0.04	
2122.00	0.04	
2123.50	0.04	
2125.00	0.04	
2126.50	0.04	
2128.00	0.04	
2129.50	0.04	
2131.00	0.04	
2132.50	0.05	
2134.00	0.05	
2135.50	0.05	
2137.00	0.05	
2138.50	0.05	
2140.00	0.05	
2141.50	0.05	
2143.00	0.05	
2144.50	0.05	
2146.00	0.05	
2147.50	0.05	
2149.00	0.05	
2150.50	0.05	
2152.00	0.05	
2153.50	0.05	
2155.00	0.05	
2156.50	0.05	
2158.00	0.05	
2159.50	0.05	
2161.00	0.05	
2162.50	0.05	
2164.00	0.05	
2165.50	0.05	
2167.00	0.05	
2168.50	0.05	
2170.00	0.05	
2171.50	0.05	
2173.00	0.05	
2174.50	0.05	
2176.00	0.05	
2177.50	0.05	
2179.00	0.06	
2180.50	0.06	
2182.00	0.06	
2183.50	0.06	
2185.00	0.06	
2186.50	0.06	
2188.00	0.06	
2189.50	0.06	
2191.00	0.06	
2192.50	0.06	
2194.00	0.06	
2195.50	0.06	
2197.00	0.06	
2198.50	0.06	
2200.00	0.06	
2201.50	0.06	
2203.00	0.06	
2204.50	0.06	
2206.00	0.06	
2207.50	0.06	
2209.00	0.06	
2210.50	0.06	
2212.00	0.06	
2213.50	0.06	
2215.00	0.06	
2216.50	0.06	
2218.00	0.06	
2219.50	0.06	
2221.00	0.06	
2222.50	0.06	
2224.00	0.06	
2225.50	0.07	
2227.00	0.07	
2228.50	0.07	
2230.00	0.07	
2231.50	0.07	
2233.00	0.07	
2234.50	0.07	
2236.00	0.07	
2237.50	0.07	
2239.00	0.07	
2240.50	0.07	
2242.00	0.07	
2243.50	0.07	
2245.00	0.07	
2246.50	0.07	
2248.00	0.07	
2249.50	0.07	
2251.00	0.07	
2252.50	0.07	
2254.00	0.07	
2255.50	0.07	
2257.00	0.07	
2258.50	0.07	
2260.00	0.07	
2261.50	0.07	
2263.00	0.07	
2264.50	0.07	
2266.00	0.07	
2267.50	0.07	
2269.00	0.07	
2270.50	0.07	
2272.00	0.07	
2273.50	0.07	
2275.00	0.08	
2276.50	0.08	
2278.00	0.08	
2279.50	0.08	
2281.00	0.08	
2282.50	0.08	
2284.00	0.08	
2285.50	0.08	
2287.00	0.08	
2288.50	0.08	
2290.00	0.08	
2291.50	0.08	
2293.00	0.08	
2294.50	0.08	
2296.00	0.08	
2297.50	0.08	
2299.00	0.08	
2300.50	0.08	
2302.00	0.08	
2303.50	0.08	
2305.00	0.08	
2306.50	0.08	
2308.00	0.08	
2309.50	0.08	
2311.00	0.08	
2312.50	0.08	
2314.00	0.08	
2315.50	0.08	
2317.00	0.08	
2318.50	0.08	
2320.00	0.08	
2321.50	0.08	
2323.00	0.08	
2324.50	0.09	
2326.00	0.09	
2327.50	0.09	
2329.00	0.09	
2330.50	0.09	
2332.00	0.09	
2333.50	0.09	
2335.00	0.09	
2336.50	0.09	
2338.00	0.09	
2339.50	0.09	
2341.00	0.09	
2342.50	0.09	
2344.00	0.09	
2345.50	0.09	
2347.00	0.09	
2348.50	0.09	
2350.00	0.09	
2351.50	0.09	
2353.00	0.09	
2354.50	0.09	
2356.00	0.09	
2357.50	0.09	
2359.00	0.09	
2360.50	0.09	
2362.00	0.09	
2363.50	0.09	
2365.00	0.09	
2366.50	0.09	
2368.00	0.09	
2369.50	0.09	
2371.00	0.09	
2372.50	0.09	
2374.00	0.09	
2375.50	0.09	
2377.00	0.10	
2378.50	0.10	
2380.00	0.10	
2381.50	0.10	
2383.00	0.10	
2384.50	0.10	
2386.00	0.10	
2387.50	0.10	
2389.00	0.10	
2390.50	0.10	
2392.00	0.10	
2393.50	0.10	
2395.00	0.10	
2396.50	0.10	
2398.00	0.10	
2399.50	0.10	
2401.00	0.10	
2402.50	0.10	
2404.00	0.10	
2405.50	0.10	
2407.00	0.10	
2408.50	0.10	
2410.00	0.10	
2411.50	0.10	
2413.00	0.10	
2414.50	0.10	
2416.00	0.10	
2417.50	0.10	
2419.00	0.10	
2420.50	0.10	
2422.00	0.10	
2423.50	0.10	
2425.00	0.10	
2426.50	0.10	
2428.00	0.10	
2429.50	0.11	
2431.00	0.11	
2432.50	0.11	
2434.00	0.11	
2435.50	0.11	
2437.00	0.11	
2438.50	0.11	
2440.00	0.11	
2441.50	0.11	
2443.00	0.11	
2444.50	0.11	
2446.00	0.11	
2447.50	0.11	
2449.00	0.11	
2450.50	0.11	
2452.00	0.11	
2453.50	0.11	
2455.00	0.11	
2456.50	0.11	
2458.00	0.11	
2459.50	0.11	
2461.00	0.11	
2462.50	0.11	
2464.00	0.11	
2465.50	0.11	
2467.00	0.11	
2468.50	0.11	
2470.00	0.11	
2471.50	0.11	
2473.00	0.11	
2474.50	0.11	
2476.00	0.11	
2477.50	0.11	
2479.00	0.11	
2480.50	0.11	
2482.00	0.11	
2483.50	0.11	
2485.00	0.12	
2486.50	0.12	
2488.00	0.12	
2489.50	0.12	
2491.00	0.12	
2492.50	0.12	
2494.00	0.12	
2495.50	0.12	
2497.00	0.12	
2498.50	0.12	
2500.00	0.12	
2501.50	0.12	
2503.00	0.12	
2504.50	0.12	
2506.00	0.12	
2507.50	0.12	
2509.00	0.12	
2510.50	0.12	
2512.00	0.12	
2513.50	0.12	
2515.00	0.12	
2516.50	0.12	
2518.00	0.12	
2519.50	0.12	
2521.00	0.12	
2522.50	0.12	
2524.00	0.12	
2525.50	0.12	
2527.00	0.12	
2528.50	0.12	
2530.00	0.12	
2531.50	0.12	
2533.00	0.12	
2534.50	0.12	
2536.00	0.12	
2537.50	0.12	
2539.00	0.12	
2540.50	0.13	
2542.00	0.13	
2543.50	0.13	
2545.00	0.13	
2546.50	0.13	
2548.00	0.13	
2549.50	0.13	
2551.00	0.13	
2552.50	0.13	
2554.00	0.13	
2555.50	0.13	
2557.00	0.13	
2558.50	0.13	
2560.00	0.13	
2561.50	0.13	
2563.00	0.13	
2564.50	0.13	
2566.00	0.13	
2567.50	0.13	
2569.00	0.13	
2570.50	0.13	
2572.00	0.13	
2573.50	0.13	
2575.00	0.13	
2576.50	0.13	
2578.00	0.13	
2579.50	0.13	
2581.00	0.13	
2582.50	0.13	
2584.00	0.13	
2585.50	0.13	
2587.00	0.13	
2588.50	0.13	
2590.00	0.13	
2591.50	0.13	
2593.00	0.13	
2594.50	0.13	
2596.00	0.13	
2597.50	0.13	
2599.00	0.14	
2600.50	0.14	
2602.00	0.14	
2603.50	0.14	
2605.00	0.14	
2606.50	0.14	
2608.00	0.14	
2609.50	0.14	
2611.00	0.14	
2612.50	0.14	
2614.00	0.14	
2615.50	0.14	
2617.00	0.14	
2618.50	0.14	
2620.00	0.14	
2621.50	0.14	
2623.00	0.14	
2624.50	0.14	
2626.00	0.14	
2627.50	0.14	
2629.00	0.14	
2630.50	0.14	
2632.00	0.14	
2633.50	0.14	
2635.00	0.14	
2636.50	0.14	
2638.00	0.14	
2639.50	0.14	
2641.00	0.14	
2642.50	0.14	
2644.00	0.14	
2645.50	0.14	
2647.00	0.14	
