f[Hz]	V[mV] Ns	V[mV] Ws
100	81.6	79.2
200	152	142
300	190	170
400	302	250
500	316	244
700	332	224
900	648	376
1100	656	332
1400	664	278
1700	680	244
2000	680	212
2300	676	184
2600	752	180
2900	744	164
3200	752	148
3500	816	150
3700	816	142
4000	832	132
4300	792	119
4600	800	112
4900	800	104
5000	824	104
