 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1002.50	1.11	
1005.00	1.10	
1007.50	1.10	
1010.00	1.10	
1012.50	1.09	
1015.00	1.09	
1017.50	1.09	
1020.00	1.08	
1022.50	1.08	
1025.00	1.08	
1027.50	1.07	
1030.00	1.07	
1032.50	1.07	
1035.00	1.06	
1037.50	1.06	
1040.00	1.06	
1042.50	1.05	
1045.00	1.05	
1047.50	1.05	
1050.00	1.04	
1052.50	1.04	
1055.00	1.04	
1057.50	1.03	
1060.00	1.03	
1062.50	1.03	
1065.00	1.02	
1067.50	1.02	
1070.00	1.02	
1072.50	1.01	
1075.00	1.01	
1077.50	1.01	
1080.00	1.00	
1082.50	1.00	
1085.00	1.00	
1087.50	0.99	
1090.00	0.99	
1092.50	0.99	
1095.00	0.98	
1097.50	0.98	
1100.00	0.98	
1102.50	0.97	
1105.00	0.97	
1107.50	0.97	
1110.00	0.96	
1112.50	0.96	
1115.00	0.96	
1117.50	0.95	
1120.00	0.95	
1122.50	0.95	
1125.00	0.94	
1127.50	0.94	
1130.00	0.94	
1132.50	0.93	
1135.00	0.93	
1137.50	0.93	
1140.00	0.92	
1142.50	0.92	
1145.00	0.92	
1147.50	0.91	
1150.00	0.91	
1152.50	0.91	
1155.00	0.90	
1157.50	0.90	
1160.00	0.90	
1162.50	0.89	
1165.00	0.89	
1167.50	0.89	
1170.00	0.89	
1172.50	0.88	
1175.00	0.88	
1177.50	0.88	
1180.00	0.87	
1182.50	0.87	
1185.00	0.87	
1187.50	0.86	
1190.00	0.86	
1192.50	0.86	
1195.00	0.85	
1197.50	0.85	
1200.00	0.85	
1202.50	0.84	
1205.00	0.84	
1207.50	0.84	
1210.00	0.83	
1212.50	0.83	
1215.00	0.83	
1217.50	0.82	
1220.00	0.82	
1222.50	0.82	
1225.00	0.81	
1227.50	0.81	
1230.00	0.81	
1232.50	0.80	
1235.00	0.80	
1237.50	0.80	
1240.00	0.79	
1242.50	0.79	
1245.00	0.79	
1247.50	0.78	
1250.00	0.78	
1252.50	0.78	
1255.00	0.77	
1257.50	0.77	
1260.00	0.77	
1262.50	0.77	
1265.00	0.76	
1267.50	0.76	
1270.00	0.76	
1272.50	0.75	
1275.00	0.75	
1277.50	0.75	
1280.00	0.74	
1282.50	0.74	
1285.00	0.74	
1287.50	0.73	
1290.00	0.73	
1292.50	0.73	
1295.00	0.72	
1297.50	0.72	
1300.00	0.72	
1302.50	0.71	
1305.00	0.71	
1307.50	0.71	
1310.00	0.70	
1312.50	0.70	
1315.00	0.70	
1317.50	0.70	
1320.00	0.69	
1322.50	0.69	
1325.00	0.69	
1327.50	0.68	
1330.00	0.68	
1332.50	0.68	
1335.00	0.67	
1337.50	0.67	
1340.00	0.67	
1342.50	0.66	
1345.00	0.66	
1347.50	0.66	
1350.00	0.65	
1352.50	0.65	
1355.00	0.65	
1357.50	0.64	
1360.00	0.64	
1362.50	0.64	
1365.00	0.64	
1367.50	0.63	
1370.00	0.63	
1372.50	0.63	
1375.00	0.62	
1377.50	0.62	
1380.00	0.62	
1382.50	0.61	
1385.00	0.61	
1387.50	0.61	
1390.00	0.60	
1392.50	0.60	
1395.00	0.60	
1397.50	0.60	
1400.00	0.59	
1402.50	0.59	
1405.00	0.59	
1407.50	0.58	
1410.00	0.58	
1412.50	0.58	
1415.00	0.57	
1417.50	0.57	
1420.00	0.57	
1422.50	0.56	
1425.00	0.56	
1427.50	0.56	
1430.00	0.56	
1432.50	0.55	
1435.00	0.55	
1437.50	0.55	
1440.00	0.54	
1442.50	0.54	
1445.00	0.54	
1447.50	0.53	
1450.00	0.53	
1452.50	0.53	
1455.00	0.53	
1457.50	0.52	
1460.00	0.52	
1462.50	0.52	
1465.00	0.51	
1467.50	0.51	
1470.00	0.51	
1472.50	0.50	
1475.00	0.50	
1477.50	0.50	
1480.00	0.50	
1482.50	0.49	
1485.00	0.49	
1487.50	0.49	
1490.00	0.48	
1492.50	0.48	
1495.00	0.48	
1497.50	0.47	
1500.00	0.47	
1502.50	0.47	
1505.00	0.47	
1507.50	0.46	
1510.00	0.46	
1512.50	0.46	
1515.00	0.45	
1517.50	0.45	
1520.00	0.45	
1522.50	0.44	
1525.00	0.44	
1527.50	0.44	
1530.00	0.44	
1532.50	0.43	
1535.00	0.43	
1537.50	0.43	
1540.00	0.42	
1542.50	0.42	
1545.00	0.42	
1547.50	0.42	
1550.00	0.41	
1552.50	0.41	
1555.00	0.41	
1557.50	0.40	
1560.00	0.40	
1562.50	0.40	
1565.00	0.40	
1567.50	0.39	
1570.00	0.39	
1572.50	0.39	
1575.00	0.38	
1577.50	0.38	
1580.00	0.38	
1582.50	0.37	
1585.00	0.37	
1587.50	0.37	
1590.00	0.37	
1592.50	0.36	
1595.00	0.36	
1597.50	0.36	
1600.00	0.35	
1602.50	0.35	
1605.00	0.35	
1607.50	0.35	
1610.00	0.34	
1612.50	0.34	
1615.00	0.34	
1617.50	0.34	
1620.00	0.33	
1622.50	0.33	
1625.00	0.33	
1627.50	0.32	
1630.00	0.32	
1632.50	0.32	
1635.00	0.32	
1637.50	0.31	
1640.00	0.31	
1642.50	0.31	
1645.00	0.30	
1647.50	0.30	
1650.00	0.30	
1652.50	0.30	
1655.00	0.29	
1657.50	0.29	
1660.00	0.29	
1662.50	0.28	
1665.00	0.28	
1667.50	0.28	
1670.00	0.28	
1672.50	0.27	
1675.00	0.27	
1677.50	0.27	
1680.00	0.27	
1682.50	0.26	
1685.00	0.26	
1687.50	0.26	
1690.00	0.25	
1692.50	0.25	
1695.00	0.25	
1697.50	0.25	
1700.00	0.24	
1702.50	0.24	
1705.00	0.24	
1707.50	0.24	
1710.00	0.23	
1712.50	0.23	
1715.00	0.23	
1717.50	0.22	
1720.00	0.22	
1722.50	0.22	
1725.00	0.22	
1727.50	0.21	
1730.00	0.21	
1732.50	0.21	
