 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1792.50	0.04	
1795.00	0.04	
1797.50	0.03	
1800.00	0.03	
1802.50	0.03	
1805.00	0.03	
1807.50	0.03	
1810.00	0.03	
1812.50	0.03	
1815.00	0.03	
1817.50	0.03	
1820.00	0.03	
1822.50	0.03	
1825.00	0.03	
1827.50	0.03	
1830.00	0.03	
1832.50	0.03	
1835.00	0.03	
1837.50	0.02	
1840.00	0.02	
1842.50	0.02	
1845.00	0.02	
1847.50	0.02	
1850.00	0.02	
1852.50	0.02	
1855.00	0.02	
1857.50	0.02	
1860.00	0.02	
1862.50	0.02	
1865.00	0.02	
1867.50	0.02	
1870.00	0.02	
1872.50	0.02	
1875.00	0.02	
1877.50	0.01	
1880.00	0.01	
1882.50	0.01	
1885.00	0.01	
1887.50	0.01	
1890.00	0.01	
1892.50	0.01	
1895.00	0.01	
1897.50	0.01	
1900.00	0.01	
1902.50	0.01	
1905.00	0.01	
1907.50	0.01	
1910.00	0.01	
1912.50	0.01	
1915.00	0.01	
1917.50	0.00	
1920.00	0.00	
1922.50	0.00	
1925.00	0.00	
1927.50	0.00	
1930.00	0.00	
1932.50	0.00	
1935.00	0.00	
1937.50	0.00	
1940.00	0.00	
1942.50	0.00	
1945.00	0.00	
1947.50	0.00	
1950.00	0.00	
1952.50	0.00	
1955.00	0.00	
1957.50	0.01	
1960.00	0.01	
1962.50	0.01	
1965.00	0.01	
1967.50	0.01	
1970.00	0.01	
1972.50	0.01	
1975.00	0.01	
1977.50	0.01	
1980.00	0.01	
1982.50	0.01	
1985.00	0.01	
1987.50	0.01	
1990.00	0.01	
1992.50	0.01	
1995.00	0.01	
1997.50	0.01	
2000.00	0.02	
2002.50	0.02	
2005.00	0.02	
2007.50	0.02	
2010.00	0.02	
2012.50	0.02	
2015.00	0.02	
2017.50	0.02	
2020.00	0.02	
2022.50	0.02	
2025.00	0.02	
2027.50	0.02	
2030.00	0.02	
2032.50	0.02	
2035.00	0.02	
2037.50	0.02	
2040.00	0.02	
2042.50	0.03	
2045.00	0.03	
2047.50	0.03	
2050.00	0.03	
2052.50	0.03	
2055.00	0.03	
2057.50	0.03	
2060.00	0.03	
2062.50	0.03	
2065.00	0.03	
2067.50	0.03	
2070.00	0.03	
2072.50	0.03	
2075.00	0.03	
2077.50	0.03	
2080.00	0.03	
2082.50	0.03	
2085.00	0.03	
2087.50	0.04	
2090.00	0.04	
2092.50	0.04	
2095.00	0.04	
2097.50	0.04	
2100.00	0.04	
2102.50	0.04	
2105.00	0.04	
2107.50	0.04	
2110.00	0.04	
2112.50	0.04	
2115.00	0.04	
2117.50	0.04	
2120.00	0.04	
2122.50	0.04	
2125.00	0.04	
2127.50	0.04	
2130.00	0.04	
2132.50	0.05	
2135.00	0.05	
2137.50	0.05	
2140.00	0.05	
2142.50	0.05	
2145.00	0.05	
2147.50	0.05	
2150.00	0.05	
2152.50	0.05	
2155.00	0.05	
2157.50	0.05	
2160.00	0.05	
2162.50	0.05	
2165.00	0.05	
2167.50	0.05	
2170.00	0.05	
2172.50	0.05	
2175.00	0.05	
2177.50	0.06	
2180.00	0.06	
2182.50	0.06	
2185.00	0.06	
2187.50	0.06	
2190.00	0.06	
2192.50	0.06	
2195.00	0.06	
2197.50	0.06	
2200.00	0.06	
2202.50	0.06	
2205.00	0.06	
2207.50	0.06	
2210.00	0.06	
2212.50	0.06	
2215.00	0.06	
2217.50	0.06	
2220.00	0.06	
2222.50	0.06	
2225.00	0.07	
2227.50	0.07	
2230.00	0.07	
2232.50	0.07	
2235.00	0.07	
2237.50	0.07	
2240.00	0.07	
2242.50	0.07	
2245.00	0.07	
2247.50	0.07	
2250.00	0.07	
2252.50	0.07	
2255.00	0.07	
2257.50	0.07	
2260.00	0.07	
2262.50	0.07	
2265.00	0.07	
2267.50	0.07	
2270.00	0.07	
2272.50	0.08	
2275.00	0.08	
2277.50	0.08	
2280.00	0.08	
2282.50	0.08	
2285.00	0.08	
2287.50	0.08	
2290.00	0.08	
2292.50	0.08	
2295.00	0.08	
2297.50	0.08	
2300.00	0.08	
2302.50	0.08	
2305.00	0.08	
2307.50	0.08	
2310.00	0.08	
2312.50	0.08	
2315.00	0.08	
2317.50	0.08	
2320.00	0.09	
2322.50	0.09	
2325.00	0.09	
2327.50	0.09	
2330.00	0.09	
2332.50	0.09	
2335.00	0.09	
2337.50	0.09	
2340.00	0.09	
2342.50	0.09	
2345.00	0.09	
2347.50	0.09	
2350.00	0.09	
2352.50	0.09	
2355.00	0.09	
2357.50	0.09	
2360.00	0.09	
2362.50	0.09	
2365.00	0.09	
2367.50	0.09	
2370.00	0.10	
2372.50	0.10	
2375.00	0.10	
2377.50	0.10	
2380.00	0.10	
2382.50	0.10	
2385.00	0.10	
2387.50	0.10	
2390.00	0.10	
2392.50	0.10	
2395.00	0.10	
2397.50	0.10	
2400.00	0.10	
2402.50	0.10	
2405.00	0.10	
2407.50	0.10	
2410.00	0.10	
2412.50	0.10	
2415.00	0.10	
2417.50	0.10	
2420.00	0.11	
2422.50	0.11	
2425.00	0.11	
2427.50	0.11	
2430.00	0.11	
2432.50	0.11	
2435.00	0.11	
2437.50	0.11	
2440.00	0.11	
2442.50	0.11	
2445.00	0.11	
2447.50	0.11	
2450.00	0.11	
2452.50	0.11	
2455.00	0.11	
2457.50	0.11	
2460.00	0.11	
2462.50	0.11	
2465.00	0.11	
2467.50	0.11	
2470.00	0.12	
2472.50	0.12	
2475.00	0.12	
2477.50	0.12	
2480.00	0.12	
2482.50	0.12	
2485.00	0.12	
2487.50	0.12	
2490.00	0.12	
2492.50	0.12	
2495.00	0.12	
2497.50	0.12	
2500.00	0.12	
2502.50	0.12	
2505.00	0.12	
2507.50	0.12	
2510.00	0.12	
2512.50	0.12	
2515.00	0.12	
2517.50	0.12	
2520.00	0.12	
2522.50	0.13	
2525.00	0.13	
2527.50	0.13	
2530.00	0.13	
2532.50	0.13	
2535.00	0.13	
2537.50	0.13	
2540.00	0.13	
2542.50	0.13	
2545.00	0.13	
2547.50	0.13	
2550.00	0.13	
2552.50	0.13	
2555.00	0.13	
2557.50	0.13	
2560.00	0.13	
2562.50	0.13	
2565.00	0.13	
2567.50	0.13	
2570.00	0.13	
2572.50	0.13	
2575.00	0.14	
2577.50	0.14	
2580.00	0.14	
2582.50	0.14	
2585.00	0.14	
2587.50	0.14	
2590.00	0.14	
2592.50	0.14	
2595.00	0.14	
2597.50	0.14	
2600.00	0.14	
2602.50	0.14	
2605.00	0.14	
2607.50	0.14	
2610.00	0.14	
2612.50	0.14	
2615.00	0.14	
2617.50	0.14	
2620.00	0.14	
2622.50	0.14	
2625.00	0.14	
2627.50	0.15	
2630.00	0.15	
2632.50	0.15	
2635.00	0.15	
2637.50	0.15	
2640.00	0.15	
2642.50	0.15	
2645.00	0.15	
2647.50	0.15	
2650.00	0.15	
2652.50	0.15	
2655.00	0.15	
2657.50	0.15	
2660.00	0.15	
2662.50	0.15	
2665.00	0.15	
2667.50	0.15	
2670.00	0.15	
2672.50	0.15	
2675.00	0.15	
2677.50	0.15	
2680.00	0.15	
2682.50	0.16	
2685.00	0.16	
2687.50	0.16	
2690.00	0.16	
2692.50	0.16	
2695.00	0.16	
2697.50	0.16	
2700.00	0.16	
2702.50	0.16	
2705.00	0.16	
2707.50	0.16	
2710.00	0.16	
2712.50	0.16	
2715.00	0.16	
2717.50	0.16	
2720.00	0.16	
2722.50	0.16	
2725.00	0.16	
2727.50	0.16	
2730.00	0.16	
2732.50	0.16	
2735.00	0.16	
2737.50	0.17	
2740.00	0.17	
2742.50	0.17	
2745.00	0.17	
2747.50	0.17	
2750.00	0.17	
2752.50	0.17	
2755.00	0.17	
2757.50	0.17	
2760.00	0.17	
2762.50	0.17	
2765.00	0.17	
2767.50	0.17	
2770.00	0.17	
2772.50	0.17	
2775.00	0.17	
2777.50	0.17	
2780.00	0.17	
2782.50	0.17	
2785.00	0.17	
2787.50	0.17	
2790.00	0.17	
2792.50	0.18	
2795.00	0.18	
2797.50	0.18	
2800.00	0.18	
2802.50	0.18	
2805.00	0.18	
2807.50	0.18	
2810.00	0.18	
2812.50	0.18	
2815.00	0.18	
2817.50	0.18	
2820.00	0.18	
2822.50	0.18	
2825.00	0.18	
2827.50	0.18	
2830.00	0.18	
2832.50	0.18	
2835.00	0.18	
2837.50	0.18	
2840.00	0.18	
2842.50	0.18	
2845.00	0.18	
2847.50	0.18	
2850.00	0.19	
2852.50	0.19	
2855.00	0.19	
2857.50	0.19	
2860.00	0.19	
2862.50	0.19	
2865.00	0.19	
2867.50	0.19	
2870.00	0.19	
2872.50	0.19	
2875.00	0.19	
2877.50	0.19	
2880.00	0.19	
2882.50	0.19	
2885.00	0.19	
2887.50	0.19	
2890.00	0.19	
2892.50	0.19	
2895.00	0.19	
2897.50	0.19	
2900.00	0.19	
2902.50	0.19	
2905.00	0.19	
2907.50	0.20	
2910.00	0.20	
2912.50	0.20	
2915.00	0.20	
2917.50	0.20	
2920.00	0.20	
2922.50	0.20	
2925.00	0.20	
2927.50	0.20	
2930.00	0.20	
2932.50	0.20	
2935.00	0.20	
2937.50	0.20	
2940.00	0.20	
2942.50	0.20	
2945.00	0.20	
2947.50	0.20	
2950.00	0.20	
2952.50	0.20	
2955.00	0.20	
2957.50	0.20	
2960.00	0.20	
2962.50	0.20	
2965.00	0.21	
2967.50	0.21	
2970.00	0.21	
2972.50	0.21	
2975.00	0.21	
2977.50	0.21	
2980.00	0.21	
2982.50	0.21	
2985.00	0.21	
2987.50	0.21	
2990.00	0.21	
2992.50	0.21	
2995.00	0.21	
2997.50	0.21	
3000.00	0.21	
3002.50	0.21	
3005.00	0.21	
3007.50	0.21	
3010.00	0.21	
3012.50	0.21	
3015.00	0.21	
3017.50	0.21	
3020.00	0.21	
3022.50	0.21	
3025.00	0.22	
3027.50	0.22	
3030.00	0.22	
3032.50	0.22	
3035.00	0.22	
3037.50	0.22	
3040.00	0.22	
3042.50	0.22	
3045.00	0.22	
3047.50	0.22	
3050.00	0.22	
3052.50	0.22	
3055.00	0.22	
3057.50	0.22	
3060.00	0.22	
3062.50	0.22	
3065.00	0.22	
3067.50	0.22	
3070.00	0.22	
3072.50	0.22	
3075.00	0.22	
3077.50	0.22	
3080.00	0.22	
3082.50	0.22	
3085.00	0.23	
3087.50	0.23	
3090.00	0.23	
3092.50	0.23	
3095.00	0.23	
3097.50	0.23	
3100.00	0.23	
3102.50	0.23	
3105.00	0.23	
3107.50	0.23	
3110.00	0.23	
3112.50	0.23	
3115.00	0.23	
3117.50	0.23	
3120.00	0.23	
3122.50	0.23	
3125.00	0.23	
3127.50	0.23	
3130.00	0.23	
3132.50	0.23	
3135.00	0.23	
3137.50	0.23	
3140.00	0.23	
3142.50	0.23	
3145.00	0.24	
3147.50	0.24	
3150.00	0.24	
3152.50	0.24	
3155.00	0.24	
3157.50	0.24	
3160.00	0.24	
3162.50	0.24	
3165.00	0.24	
3167.50	0.24	
3170.00	0.24	
3172.50	0.24	
3175.00	0.24	
3177.50	0.24	
3180.00	0.24	
3182.50	0.24	
3185.00	0.24	
3187.50	0.24	
3190.00	0.24	
3192.50	0.24	
3195.00	0.24	
3197.50	0.24	
3200.00	0.24	
3202.50	0.24	
3205.00	0.24	
3207.50	0.25	
3210.00	0.25	
3212.50	0.25	
3215.00	0.25	
3217.50	0.25	
3220.00	0.25	
3222.50	0.25	
3225.00	0.25	
3227.50	0.25	
3230.00	0.25	
3232.50	0.25	
3235.00	0.25	
3237.50	0.25	
3240.00	0.25	
3242.50	0.25	
3245.00	0.25	
3247.50	0.25	
3250.00	0.25	
3252.50	0.25	
3255.00	0.25	
3257.50	0.25	
3260.00	0.25	
3262.50	0.25	
3265.00	0.25	
3267.50	0.26	
3270.00	0.26	
3272.50	0.26	
3275.00	0.26	
3277.50	0.26	
3280.00	0.26	
3282.50	0.26	
3285.00	0.26	
3287.50	0.26	
3290.00	0.26	
3292.50	0.26	
3295.00	0.26	
3297.50	0.26	
3300.00	0.26	
3302.50	0.26	
3305.00	0.26	
3307.50	0.26	
3310.00	0.26	
3312.50	0.26	
3315.00	0.26	
3317.50	0.26	
3320.00	0.26	
3322.50	0.26	
3325.00	0.26	
3327.50	0.26	
3330.00	0.26	
3332.50	0.27	
3335.00	0.27	
3337.50	0.27	
3340.00	0.27	
3342.50	0.27	
3345.00	0.27	
3347.50	0.27	
3350.00	0.27	
3352.50	0.27	
3355.00	0.27	
3357.50	0.27	
3360.00	0.27	
3362.50	0.27	
3365.00	0.27	
3367.50	0.27	
3370.00	0.27	
3372.50	0.27	
3375.00	0.27	
3377.50	0.27	
3380.00	0.27	
3382.50	0.27	
3385.00	0.27	
3387.50	0.27	
3390.00	0.27	
3392.50	0.27	
3395.00	0.28	
3397.50	0.28	
3400.00	0.28	
3402.50	0.28	
3405.00	0.28	
3407.50	0.28	
3410.00	0.28	
3412.50	0.28	
3415.00	0.28	
3417.50	0.28	
3420.00	0.28	
3422.50	0.28	
3425.00	0.28	
3427.50	0.28	
3430.00	0.28	
3432.50	0.28	
3435.00	0.28	
3437.50	0.28	
3440.00	0.28	
3442.50	0.28	
3445.00	0.28	
3447.50	0.28	
3450.00	0.28	
3452.50	0.28	
3455.00	0.28	
3457.50	0.28	
3460.00	0.29	
3462.50	0.29	
3465.00	0.29	
3467.50	0.29	
3470.00	0.29	
3472.50	0.29	
3475.00	0.29	
3477.50	0.29	
3480.00	0.29	
3482.50	0.29	
3485.00	0.29	
3487.50	0.29	
3490.00	0.29	
3492.50	0.29	
3495.00	0.29	
3497.50	0.29	
3500.00	0.29	
3502.50	0.29	
3505.00	0.29	
3507.50	0.29	
3510.00	0.29	
3512.50	0.29	
3515.00	0.29	
3517.50	0.29	
3520.00	0.29	
3522.50	0.29	
3525.00	0.30	
3527.50	0.30	
3530.00	0.30	
3532.50	0.30	
3535.00	0.30	
3537.50	0.30	
3540.00	0.30	
3542.50	0.30	
3545.00	0.30	
3547.50	0.30	
3550.00	0.30	
3552.50	0.30	
3555.00	0.30	
3557.50	0.30	
3560.00	0.30	
3562.50	0.30	
3565.00	0.30	
3567.50	0.30	
3570.00	0.30	
3572.50	0.30	
3575.00	0.30	
3577.50	0.30	
3580.00	0.30	
3582.50	0.30	
3585.00	0.30	
3587.50	0.30	
3590.00	0.31	
3592.50	0.31	
3595.00	0.31	
3597.50	0.31	
3600.00	0.31	
3602.50	0.31	
3605.00	0.31	
3607.50	0.31	
3610.00	0.31	
3612.50	0.31	
3615.00	0.31	
3617.50	0.31	
3620.00	0.31	
3622.50	0.31	
3625.00	0.31	
3627.50	0.31	
3630.00	0.31	
3632.50	0.31	
3635.00	0.31	
3637.50	0.31	
3640.00	0.31	
3642.50	0.31	
3645.00	0.31	
3647.50	0.31	
3650.00	0.31	
3652.50	0.31	
3655.00	0.31	
3657.50	0.32	
3660.00	0.32	
3662.50	0.32	
3665.00	0.32	
3667.50	0.32	
3670.00	0.32	
3672.50	0.32	
3675.00	0.32	
3677.50	0.32	
3680.00	0.32	
3682.50	0.32	
3685.00	0.32	
3687.50	0.32	
3690.00	0.32	
3692.50	0.32	
3695.00	0.32	
3697.50	0.32	
3700.00	0.32	
3702.50	0.32	
3705.00	0.32	
3707.50	0.32	
3710.00	0.32	
3712.50	0.32	
3715.00	0.32	
3717.50	0.32	
3720.00	0.32	
3722.50	0.32	
3725.00	0.33	
3727.50	0.33	
3730.00	0.33	
3732.50	0.33	
3735.00	0.33	
3737.50	0.33	
3740.00	0.33	
3742.50	0.33	
3745.00	0.33	
3747.50	0.33	
3750.00	0.33	
3752.50	0.33	
3755.00	0.33	
3757.50	0.33	
3760.00	0.33	
3762.50	0.33	
3765.00	0.33	
3767.50	0.33	
3770.00	0.33	
3772.50	0.33	
3775.00	0.33	
3777.50	0.33	
3780.00	0.33	
3782.50	0.33	
3785.00	0.33	
3787.50	0.33	
3790.00	0.33	
3792.50	0.34	
3795.00	0.34	
3797.50	0.34	
3800.00	0.34	
3802.50	0.34	
3805.00	0.34	
3807.50	0.34	
3810.00	0.34	
3812.50	0.34	
3815.00	0.34	
3817.50	0.34	
3820.00	0.34	
3822.50	0.34	
3825.00	0.34	
3827.50	0.34	
3830.00	0.34	
3832.50	0.34	
3835.00	0.34	
3837.50	0.34	
3840.00	0.34	
3842.50	0.34	
3845.00	0.34	
3847.50	0.34	
3850.00	0.34	
3852.50	0.34	
3855.00	0.34	
3857.50	0.34	
3860.00	0.35	
3862.50	0.35	
3865.00	0.35	
3867.50	0.35	
3870.00	0.35	
3872.50	0.35	
3875.00	0.35	
3877.50	0.35	
3880.00	0.35	
3882.50	0.35	
3885.00	0.35	
3887.50	0.35	
3890.00	0.35	
3892.50	0.35	
3895.00	0.35	
3897.50	0.35	
3900.00	0.35	
3902.50	0.35	
3905.00	0.35	
3907.50	0.35	
3910.00	0.35	
3912.50	0.35	
3915.00	0.35	
3917.50	0.35	
3920.00	0.35	
3922.50	0.35	
3925.00	0.35	
3927.50	0.35	
3930.00	0.36	
3932.50	0.36	
3935.00	0.36	
3937.50	0.36	
3940.00	0.36	
3942.50	0.36	
3945.00	0.36	
3947.50	0.36	
3950.00	0.36	
3952.50	0.36	
3955.00	0.36	
3957.50	0.36	
3960.00	0.36	
3962.50	0.36	
3965.00	0.36	
3967.50	0.36	
3970.00	0.36	
3972.50	0.36	
3975.00	0.36	
3977.50	0.36	
3980.00	0.36	
3982.50	0.36	
3985.00	0.36	
3987.50	0.36	
3990.00	0.36	
3992.50	0.36	
3995.00	0.36	
3997.50	0.36	
4000.00	0.37	
4002.50	0.37	
4005.00	0.37	
4007.50	0.37	
4010.00	0.37	
4012.50	0.37	
4015.00	0.37	
4017.50	0.37	
4020.00	0.37	
4022.50	0.37	
