 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1001.50	0.16	
1003.00	0.16	
1004.50	0.16	
1006.00	0.16	
1007.50	0.16	
1009.00	0.16	
1010.50	0.16	
1012.00	0.16	
1013.50	0.15	
1015.00	0.15	
1016.50	0.15	
1018.00	0.15	
1019.50	0.15	
1021.00	0.15	
1022.50	0.15	
1024.00	0.15	
1025.50	0.15	
1027.00	0.15	
1028.50	0.15	
1030.00	0.15	
1031.50	0.15	
1033.00	0.15	
1034.50	0.15	
1036.00	0.15	
1037.50	0.15	
1039.00	0.15	
1040.50	0.15	
1042.00	0.15	
1043.50	0.15	
1045.00	0.15	
1046.50	0.15	
1048.00	0.15	
1049.50	0.15	
1051.00	0.15	
1052.50	0.15	
1054.00	0.15	
1055.50	0.14	
1057.00	0.14	
1058.50	0.14	
1060.00	0.14	
1061.50	0.14	
1063.00	0.14	
1064.50	0.14	
1066.00	0.14	
1067.50	0.14	
1069.00	0.14	
1070.50	0.14	
1072.00	0.14	
1073.50	0.14	
1075.00	0.14	
1076.50	0.14	
1078.00	0.14	
1079.50	0.14	
1081.00	0.14	
1082.50	0.14	
1084.00	0.14	
1085.50	0.14	
1087.00	0.14	
1088.50	0.14	
1090.00	0.14	
1091.50	0.14	
1093.00	0.14	
1094.50	0.14	
1096.00	0.14	
1097.50	0.14	
1099.00	0.14	
1100.50	0.13	
1102.00	0.13	
1103.50	0.13	
1105.00	0.13	
1106.50	0.13	
1108.00	0.13	
1109.50	0.13	
1111.00	0.13	
1112.50	0.13	
1114.00	0.13	
1115.50	0.13	
1117.00	0.13	
1118.50	0.13	
1120.00	0.13	
1121.50	0.13	
1123.00	0.13	
1124.50	0.13	
1126.00	0.13	
1127.50	0.13	
1129.00	0.13	
1130.50	0.13	
1132.00	0.13	
1133.50	0.13	
1135.00	0.13	
1136.50	0.13	
1138.00	0.13	
1139.50	0.13	
1141.00	0.13	
1142.50	0.13	
1144.00	0.13	
1145.50	0.12	
1147.00	0.12	
1148.50	0.12	
1150.00	0.12	
1151.50	0.12	
1153.00	0.12	
1154.50	0.12	
1156.00	0.12	
1157.50	0.12	
1159.00	0.12	
1160.50	0.12	
1162.00	0.12	
1163.50	0.12	
1165.00	0.12	
1166.50	0.12	
1168.00	0.12	
1169.50	0.12	
1171.00	0.12	
1172.50	0.12	
1174.00	0.12	
1175.50	0.12	
1177.00	0.12	
1178.50	0.12	
1180.00	0.12	
1181.50	0.12	
1183.00	0.12	
1184.50	0.12	
1186.00	0.12	
1187.50	0.12	
1189.00	0.12	
1190.50	0.12	
1192.00	0.12	
1193.50	0.11	
1195.00	0.11	
1196.50	0.11	
1198.00	0.11	
1199.50	0.11	
1201.00	0.11	
1202.50	0.11	
1204.00	0.11	
1205.50	0.11	
1207.00	0.11	
1208.50	0.11	
1210.00	0.11	
1211.50	0.11	
1213.00	0.11	
1214.50	0.11	
1216.00	0.11	
1217.50	0.11	
1219.00	0.11	
1220.50	0.11	
1222.00	0.11	
1223.50	0.11	
1225.00	0.11	
1226.50	0.11	
1228.00	0.11	
1229.50	0.11	
1231.00	0.11	
1232.50	0.11	
1234.00	0.11	
1235.50	0.11	
1237.00	0.11	
1238.50	0.11	
1240.00	0.11	
1241.50	0.11	
1243.00	0.11	
1244.50	0.10	
1246.00	0.10	
1247.50	0.10	
1249.00	0.10	
1250.50	0.10	
1252.00	0.10	
1253.50	0.10	
1255.00	0.10	
1256.50	0.10	
1258.00	0.10	
1259.50	0.10	
1261.00	0.10	
1262.50	0.10	
1264.00	0.10	
1265.50	0.10	
1267.00	0.10	
1268.50	0.10	
1270.00	0.10	
1271.50	0.10	
1273.00	0.10	
1274.50	0.10	
1276.00	0.10	
1277.50	0.10	
1279.00	0.10	
1280.50	0.10	
1282.00	0.10	
1283.50	0.10	
1285.00	0.10	
1286.50	0.10	
1288.00	0.10	
1289.50	0.10	
1291.00	0.10	
1292.50	0.10	
1294.00	0.10	
1295.50	0.10	
1297.00	0.09	
1298.50	0.09	
1300.00	0.09	
1301.50	0.09	
1303.00	0.09	
1304.50	0.09	
1306.00	0.09	
1307.50	0.09	
1309.00	0.09	
1310.50	0.09	
1312.00	0.09	
1313.50	0.09	
1315.00	0.09	
1316.50	0.09	
1318.00	0.09	
1319.50	0.09	
1321.00	0.09	
1322.50	0.09	
1324.00	0.09	
1325.50	0.09	
1327.00	0.09	
1328.50	0.09	
1330.00	0.09	
1331.50	0.09	
1333.00	0.09	
1334.50	0.09	
1336.00	0.09	
1337.50	0.09	
1339.00	0.09	
1340.50	0.09	
1342.00	0.09	
1343.50	0.09	
1345.00	0.09	
1346.50	0.09	
1348.00	0.09	
1349.50	0.09	
1351.00	0.09	
1352.50	0.08	
1354.00	0.08	
1355.50	0.08	
1357.00	0.08	
1358.50	0.08	
1360.00	0.08	
1361.50	0.08	
1363.00	0.08	
1364.50	0.08	
1366.00	0.08	
1367.50	0.08	
1369.00	0.08	
1370.50	0.08	
1372.00	0.08	
1373.50	0.08	
1375.00	0.08	
1376.50	0.08	
1378.00	0.08	
1379.50	0.08	
1381.00	0.08	
1382.50	0.08	
1384.00	0.08	
1385.50	0.08	
1387.00	0.08	
1388.50	0.08	
1390.00	0.08	
1391.50	0.08	
1393.00	0.08	
1394.50	0.08	
1396.00	0.08	
1397.50	0.08	
1399.00	0.08	
1400.50	0.08	
1402.00	0.08	
1403.50	0.08	
1405.00	0.08	
1406.50	0.08	
1408.00	0.08	
1409.50	0.07	
1411.00	0.07	
1412.50	0.07	
1414.00	0.07	
1415.50	0.07	
1417.00	0.07	
1418.50	0.07	
1420.00	0.07	
1421.50	0.07	
1423.00	0.07	
1424.50	0.07	
1426.00	0.07	
1427.50	0.07	
1429.00	0.07	
1430.50	0.07	
1432.00	0.07	
1433.50	0.07	
1435.00	0.07	
1436.50	0.07	
1438.00	0.07	
1439.50	0.07	
1441.00	0.07	
1442.50	0.07	
1444.00	0.07	
1445.50	0.07	
1447.00	0.07	
1448.50	0.07	
1450.00	0.07	
1451.50	0.07	
1453.00	0.07	
1454.50	0.07	
1456.00	0.07	
1457.50	0.07	
1459.00	0.07	
1460.50	0.07	
1462.00	0.07	
1463.50	0.07	
1465.00	0.07	
1466.50	0.07	
1468.00	0.07	
1469.50	0.07	
1471.00	0.06	
1472.50	0.06	
1474.00	0.06	
1475.50	0.06	
1477.00	0.06	
1478.50	0.06	
1480.00	0.06	
1481.50	0.06	
1483.00	0.06	
1484.50	0.06	
1486.00	0.06	
1487.50	0.06	
1489.00	0.06	
1490.50	0.06	
1492.00	0.06	
1493.50	0.06	
1495.00	0.06	
1496.50	0.06	
1498.00	0.06	
1499.50	0.06	
1501.00	0.06	
1502.50	0.06	
1504.00	0.06	
1505.50	0.06	
1507.00	0.06	
1508.50	0.06	
1510.00	0.06	
1511.50	0.06	
1513.00	0.06	
1514.50	0.06	
1516.00	0.06	
1517.50	0.06	
1519.00	0.06	
1520.50	0.06	
1522.00	0.06	
1523.50	0.06	
1525.00	0.06	
1526.50	0.06	
1528.00	0.06	
1529.50	0.06	
1531.00	0.06	
1532.50	0.06	
1534.00	0.05	
1535.50	0.05	
1537.00	0.05	
1538.50	0.05	
1540.00	0.05	
1541.50	0.05	
1543.00	0.05	
1544.50	0.05	
1546.00	0.05	
1547.50	0.05	
1549.00	0.05	
1550.50	0.05	
1552.00	0.05	
1553.50	0.05	
1555.00	0.05	
1556.50	0.05	
1558.00	0.05	
1559.50	0.05	
1561.00	0.05	
1562.50	0.05	
1564.00	0.05	
1565.50	0.05	
1567.00	0.05	
1568.50	0.05	
1570.00	0.05	
1571.50	0.05	
1573.00	0.05	
1574.50	0.05	
1576.00	0.05	
1577.50	0.05	
1579.00	0.05	
1580.50	0.05	
1582.00	0.05	
1583.50	0.05	
1585.00	0.05	
1586.50	0.05	
1588.00	0.05	
1589.50	0.05	
1591.00	0.05	
1592.50	0.05	
1594.00	0.05	
1595.50	0.05	
1597.00	0.05	
1598.50	0.05	
1600.00	0.04	
1601.50	0.04	
1603.00	0.04	
1604.50	0.04	
1606.00	0.04	
1607.50	0.04	
1609.00	0.04	
1610.50	0.04	
1612.00	0.04	
1613.50	0.04	
1615.00	0.04	
1616.50	0.04	
1618.00	0.04	
1619.50	0.04	
1621.00	0.04	
1622.50	0.04	
1624.00	0.04	
1625.50	0.04	
1627.00	0.04	
1628.50	0.04	
1630.00	0.04	
1631.50	0.04	
1633.00	0.04	
1634.50	0.04	
1636.00	0.04	
1637.50	0.04	
1639.00	0.04	
1640.50	0.04	
1642.00	0.04	
1643.50	0.04	
