 Frequency [Hz] - Resonance Curve	Volatge [V] - Resonance Curve	
1001.50	0.43	
1003.00	0.43	
1004.50	0.43	
1006.00	0.43	
1007.50	0.43	
1009.00	0.43	
1010.50	0.43	
1012.00	0.43	
1013.50	0.43	
1015.00	0.43	
1016.50	0.43	
1018.00	0.43	
1019.50	0.42	
1021.00	0.42	
1022.50	0.42	
1024.00	0.42	
1025.50	0.42	
1027.00	0.42	
1028.50	0.42	
1030.00	0.42	
1031.50	0.42	
1033.00	0.42	
1034.50	0.42	
1036.00	0.42	
1037.50	0.42	
1039.00	0.42	
1040.50	0.42	
1042.00	0.42	
1043.50	0.42	
1045.00	0.42	
1046.50	0.42	
1048.00	0.42	
1049.50	0.42	
1051.00	0.42	
1052.50	0.42	
1054.00	0.42	
1055.50	0.42	
1057.00	0.42	
1058.50	0.42	
1060.00	0.42	
1061.50	0.42	
1063.00	0.42	
1064.50	0.42	
1066.00	0.41	
1067.50	0.41	
1069.00	0.41	
1070.50	0.41	
1072.00	0.41	
1073.50	0.41	
1075.00	0.41	
1076.50	0.41	
1078.00	0.41	
1079.50	0.41	
1081.00	0.41	
1082.50	0.41	
1084.00	0.41	
1085.50	0.41	
1087.00	0.41	
1088.50	0.41	
1090.00	0.41	
1091.50	0.41	
1093.00	0.41	
1094.50	0.41	
1096.00	0.41	
1097.50	0.41	
1099.00	0.41	
1100.50	0.41	
1102.00	0.41	
1103.50	0.41	
1105.00	0.41	
1106.50	0.41	
1108.00	0.40	
1109.50	0.40	
1111.00	0.40	
1112.50	0.40	
1114.00	0.40	
1115.50	0.40	
1117.00	0.40	
1118.50	0.40	
1120.00	0.40	
1121.50	0.40	
1123.00	0.40	
1124.50	0.40	
1126.00	0.40	
1127.50	0.40	
1129.00	0.40	
1130.50	0.40	
1132.00	0.40	
1133.50	0.40	
1135.00	0.40	
1136.50	0.40	
1138.00	0.40	
1139.50	0.40	
1141.00	0.40	
1142.50	0.40	
1144.00	0.40	
1145.50	0.40	
1147.00	0.39	
1148.50	0.39	
1150.00	0.39	
1151.50	0.39	
1153.00	0.39	
1154.50	0.39	
1156.00	0.39	
1157.50	0.39	
1159.00	0.39	
1160.50	0.39	
1162.00	0.39	
1163.50	0.39	
1165.00	0.39	
1166.50	0.39	
1168.00	0.39	
1169.50	0.39	
1171.00	0.39	
1172.50	0.39	
1174.00	0.39	
1175.50	0.39	
1177.00	0.39	
1178.50	0.39	
1180.00	0.39	
1181.50	0.39	
1183.00	0.38	
1184.50	0.38	
1186.00	0.38	
1187.50	0.38	
1189.00	0.38	
1190.50	0.38	
1192.00	0.38	
1193.50	0.38	
1195.00	0.38	
1196.50	0.38	
1198.00	0.38	
1199.50	0.38	
1201.00	0.38	
1202.50	0.38	
1204.00	0.38	
1205.50	0.38	
1207.00	0.38	
1208.50	0.38	
1210.00	0.38	
1211.50	0.38	
1213.00	0.38	
1214.50	0.38	
1216.00	0.37	
1217.50	0.37	
1219.00	0.37	
1220.50	0.37	
1222.00	0.37	
1223.50	0.37	
1225.00	0.37	
1226.50	0.37	
1228.00	0.37	
1229.50	0.37	
1231.00	0.37	
1232.50	0.37	
1234.00	0.37	
1235.50	0.37	
1237.00	0.37	
1238.50	0.37	
1240.00	0.37	
1241.50	0.37	
1243.00	0.37	
1244.50	0.37	
1246.00	0.37	
1247.50	0.36	
1249.00	0.36	
1250.50	0.36	
1252.00	0.36	
1253.50	0.36	
1255.00	0.36	
1256.50	0.36	
1258.00	0.36	
1259.50	0.36	
1261.00	0.36	
1262.50	0.36	
1264.00	0.36	
1265.50	0.36	
1267.00	0.36	
1268.50	0.36	
1270.00	0.36	
1271.50	0.36	
1273.00	0.36	
1274.50	0.36	
1276.00	0.35	
1277.50	0.35	
1279.00	0.35	
1280.50	0.35	
1282.00	0.35	
1283.50	0.35	
1285.00	0.35	
1286.50	0.35	
1288.00	0.35	
1289.50	0.35	
1291.00	0.35	
1292.50	0.35	
1294.00	0.35	
1295.50	0.35	
1297.00	0.35	
1298.50	0.35	
1300.00	0.35	
1301.50	0.35	
1303.00	0.35	
1304.50	0.34	
1306.00	0.34	
1307.50	0.34	
1309.00	0.34	
1310.50	0.34	
1312.00	0.34	
1313.50	0.34	
1315.00	0.34	
1316.50	0.34	
1318.00	0.34	
1319.50	0.34	
1321.00	0.34	
1322.50	0.34	
1324.00	0.34	
1325.50	0.34	
1327.00	0.34	
1328.50	0.34	
1330.00	0.34	
1331.50	0.33	
1333.00	0.33	
1334.50	0.33	
1336.00	0.33	
1337.50	0.33	
1339.00	0.33	
1340.50	0.33	
1342.00	0.33	
1343.50	0.33	
1345.00	0.33	
1346.50	0.33	
1348.00	0.33	
1349.50	0.33	
1351.00	0.33	
1352.50	0.33	
1354.00	0.33	
1355.50	0.33	
1357.00	0.32	
1358.50	0.32	
1360.00	0.32	
1361.50	0.32	
1363.00	0.32	
1364.50	0.32	
1366.00	0.32	
1367.50	0.32	
1369.00	0.32	
1370.50	0.32	
1372.00	0.32	
1373.50	0.32	
1375.00	0.32	
1376.50	0.32	
1378.00	0.32	
1379.50	0.32	
1381.00	0.31	
1382.50	0.31	
1384.00	0.31	
1385.50	0.31	
1387.00	0.31	
1388.50	0.31	
1390.00	0.31	
1391.50	0.31	
1393.00	0.31	
1394.50	0.31	
1396.00	0.31	
1397.50	0.31	
1399.00	0.31	
1400.50	0.31	
