 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1001.50	0.16	
1003.00	0.16	
1004.50	0.16	
1006.00	0.16	
1007.50	0.16	
1009.00	0.16	
1010.50	0.16	
1012.00	0.16	
1013.50	0.16	
1015.00	0.16	
1016.50	0.16	
1018.00	0.16	
1019.50	0.16	
1021.00	0.16	
1022.50	0.16	
1024.00	0.16	
1025.50	0.16	
1027.00	0.16	
1028.50	0.16	
1030.00	0.16	
1031.50	0.16	
1033.00	0.17	
1034.50	0.17	
1036.00	0.17	
1037.50	0.17	
1039.00	0.17	
1040.50	0.17	
1042.00	0.17	
1043.50	0.17	
1045.00	0.17	
1046.50	0.17	
1048.00	0.17	
1049.50	0.17	
1051.00	0.17	
1052.50	0.17	
1054.00	0.17	
1055.50	0.17	
1057.00	0.17	
1058.50	0.17	
1060.00	0.17	
1061.50	0.17	
1063.00	0.17	
1064.50	0.17	
1066.00	0.17	
1067.50	0.17	
1069.00	0.17	
1070.50	0.18	
1072.00	0.18	
1073.50	0.18	
1075.00	0.18	
1076.50	0.18	
1078.00	0.18	
1079.50	0.18	
1081.00	0.18	
1082.50	0.18	
1084.00	0.18	
1085.50	0.18	
1087.00	0.18	
1088.50	0.18	
1090.00	0.18	
1091.50	0.18	
1093.00	0.18	
1094.50	0.18	
1096.00	0.18	
1097.50	0.18	
1099.00	0.18	
1100.50	0.18	
1102.00	0.18	
1103.50	0.18	
1105.00	0.18	
1106.50	0.19	
1108.00	0.19	
1109.50	0.19	
1111.00	0.19	
1112.50	0.19	
1114.00	0.19	
1115.50	0.19	
1117.00	0.19	
1118.50	0.19	
1120.00	0.19	
1121.50	0.19	
1123.00	0.19	
1124.50	0.19	
1126.00	0.19	
1127.50	0.19	
1129.00	0.19	
1130.50	0.19	
1132.00	0.19	
1133.50	0.19	
1135.00	0.19	
1136.50	0.19	
1138.00	0.19	
1139.50	0.19	
1141.00	0.20	
1142.50	0.20	
1144.00	0.20	
1145.50	0.20	
1147.00	0.20	
1148.50	0.20	
1150.00	0.20	
1151.50	0.20	
1153.00	0.20	
1154.50	0.20	
1156.00	0.20	
1157.50	0.20	
1159.00	0.20	
1160.50	0.20	
1162.00	0.20	
1163.50	0.20	
1165.00	0.20	
1166.50	0.20	
1168.00	0.20	
1169.50	0.20	
1171.00	0.20	
1172.50	0.20	
1174.00	0.21	
1175.50	0.21	
1177.00	0.21	
1178.50	0.21	
1180.00	0.21	
1181.50	0.21	
1183.00	0.21	
1184.50	0.21	
1186.00	0.21	
1187.50	0.21	
1189.00	0.21	
1190.50	0.21	
1192.00	0.21	
1193.50	0.21	
1195.00	0.21	
1196.50	0.21	
1198.00	0.21	
1199.50	0.21	
1201.00	0.21	
1202.50	0.21	
1204.00	0.21	
1205.50	0.22	
1207.00	0.22	
1208.50	0.22	
1210.00	0.22	
1211.50	0.22	
1213.00	0.22	
1214.50	0.22	
1216.00	0.22	
1217.50	0.22	
1219.00	0.22	
1220.50	0.22	
1222.00	0.22	
1223.50	0.22	
1225.00	0.22	
1226.50	0.22	
1228.00	0.22	
1229.50	0.22	
1231.00	0.22	
1232.50	0.22	
1234.00	0.23	
1235.50	0.23	
1237.00	0.23	
1238.50	0.23	
1240.00	0.23	
1241.50	0.23	
1243.00	0.23	
1244.50	0.23	
1246.00	0.23	
1247.50	0.23	
1249.00	0.23	
1250.50	0.23	
1252.00	0.23	
1253.50	0.23	
1255.00	0.23	
1256.50	0.23	
1258.00	0.23	
1259.50	0.23	
1261.00	0.23	
1262.50	0.24	
1264.00	0.24	
1265.50	0.24	
1267.00	0.24	
1268.50	0.24	
1270.00	0.24	
1271.50	0.24	
1273.00	0.24	
1274.50	0.24	
1276.00	0.24	
1277.50	0.24	
1279.00	0.24	
1280.50	0.24	
1282.00	0.24	
1283.50	0.24	
1285.00	0.24	
1286.50	0.24	
1288.00	0.24	
1289.50	0.24	
1291.00	0.25	
1292.50	0.25	
1294.00	0.25	
1295.50	0.25	
1297.00	0.25	
1298.50	0.25	
1300.00	0.25	
1301.50	0.25	
1303.00	0.25	
1304.50	0.25	
1306.00	0.25	
1307.50	0.25	
1309.00	0.25	
1310.50	0.25	
1312.00	0.25	
1313.50	0.25	
1315.00	0.25	
1316.50	0.26	
1318.00	0.26	
1319.50	0.26	
1321.00	0.26	
1322.50	0.26	
1324.00	0.26	
1325.50	0.26	
1327.00	0.26	
1328.50	0.26	
1330.00	0.26	
1331.50	0.26	
1333.00	0.26	
1334.50	0.26	
1336.00	0.26	
1337.50	0.26	
1339.00	0.26	
1340.50	0.26	
1342.00	0.27	
1343.50	0.27	
1345.00	0.27	
1346.50	0.27	
1348.00	0.27	
1349.50	0.27	
1351.00	0.27	
1352.50	0.27	
1354.00	0.27	
1355.50	0.27	
1357.00	0.27	
1358.50	0.27	
1360.00	0.27	
1361.50	0.27	
1363.00	0.27	
1364.50	0.27	
1366.00	0.28	
1367.50	0.28	
1369.00	0.28	
1370.50	0.28	
1372.00	0.28	
1373.50	0.28	
1375.00	0.28	
1376.50	0.28	
1378.00	0.28	
1379.50	0.28	
1381.00	0.28	
1382.50	0.28	
1384.00	0.28	
1385.50	0.28	
1387.00	0.28	
1388.50	0.28	
1390.00	0.29	
1391.50	0.29	
1393.00	0.29	
1394.50	0.29	
1396.00	0.29	
1397.50	0.29	
1399.00	0.29	
1400.50	0.29	
1402.00	0.29	
1403.50	0.29	
1405.00	0.29	
1406.50	0.29	
1408.00	0.29	
1409.50	0.29	
1411.00	0.29	
1412.50	0.30	
1414.00	0.30	
1415.50	0.30	
1417.00	0.30	
1418.50	0.30	
1420.00	0.30	
1421.50	0.30	
1423.00	0.30	
1424.50	0.30	
1426.00	0.30	
1427.50	0.30	
1429.00	0.30	
1430.50	0.30	
1432.00	0.30	
1433.50	0.30	
1435.00	0.31	
1436.50	0.31	
1438.00	0.31	
1439.50	0.31	
1441.00	0.31	
1442.50	0.31	
1444.00	0.31	
1445.50	0.31	
1447.00	0.31	
1448.50	0.31	
1450.00	0.31	
1451.50	0.31	
1453.00	0.31	
1454.50	0.31	
1456.00	0.32	
1457.50	0.32	
1459.00	0.32	
1460.50	0.32	
1462.00	0.32	
1463.50	0.32	
1465.00	0.32	
1466.50	0.32	
1468.00	0.32	
1469.50	0.32	
1471.00	0.32	
1472.50	0.32	
1474.00	0.32	
1475.50	0.32	
1477.00	0.33	
1478.50	0.33	
1480.00	0.33	
1481.50	0.33	
1483.00	0.33	
1484.50	0.33	
1486.00	0.33	
1487.50	0.33	
1489.00	0.33	
1490.50	0.33	
1492.00	0.33	
1493.50	0.33	
1495.00	0.33	
1496.50	0.33	
1498.00	0.34	
1499.50	0.34	
1501.00	0.34	
1502.50	0.34	
1504.00	0.34	
1505.50	0.34	
1507.00	0.34	
1508.50	0.34	
1510.00	0.34	
1511.50	0.34	
1513.00	0.34	
1514.50	0.34	
1516.00	0.34	
1517.50	0.35	
1519.00	0.35	
1520.50	0.35	
1522.00	0.35	
1523.50	0.35	
1525.00	0.35	
1526.50	0.35	
1528.00	0.35	
1529.50	0.35	
1531.00	0.35	
1532.50	0.35	
1534.00	0.35	
1535.50	0.35	
1537.00	0.35	
1538.50	0.36	
1540.00	0.36	
1541.50	0.36	
1543.00	0.36	
1544.50	0.36	
1546.00	0.36	
1547.50	0.36	
1549.00	0.36	
1550.50	0.36	
1552.00	0.36	
1553.50	0.36	
1555.00	0.36	
1556.50	0.36	
1558.00	0.37	
1559.50	0.37	
1561.00	0.37	
1562.50	0.37	
1564.00	0.37	
1565.50	0.37	
1567.00	0.37	
1568.50	0.37	
1570.00	0.37	
1571.50	0.37	
1573.00	0.37	
1574.50	0.37	
1576.00	0.37	
1577.50	0.38	
1579.00	0.38	
1580.50	0.38	
1582.00	0.38	
1583.50	0.38	
1585.00	0.38	
1586.50	0.38	
1588.00	0.38	
1589.50	0.38	
1591.00	0.38	
1592.50	0.38	
1594.00	0.38	
1595.50	0.38	
1597.00	0.39	
1598.50	0.39	
1600.00	0.39	
1601.50	0.39	
1603.00	0.39	
1604.50	0.39	
1606.00	0.39	
1607.50	0.39	
1609.00	0.39	
1610.50	0.39	
1612.00	0.39	
1613.50	0.39	
1615.00	0.39	
1616.50	0.40	
1618.00	0.40	
1619.50	0.40	
1621.00	0.40	
1622.50	0.40	
1624.00	0.40	
1625.50	0.40	
1627.00	0.40	
1628.50	0.40	
1630.00	0.40	
1631.50	0.40	
1633.00	0.40	
1634.50	0.40	
1636.00	0.41	
1637.50	0.41	
1639.00	0.41	
1640.50	0.41	
1642.00	0.41	
1643.50	0.41	
