 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
1792.50	1.98	
1795.00	1.98	
1797.50	1.98	
1800.00	1.98	
1802.50	1.99	
1805.00	1.99	
1807.50	1.99	
1810.00	1.99	
1812.50	1.99	
1815.00	1.99	
1817.50	1.99	
1820.00	1.99	
1822.50	1.99	
1825.00	1.99	
1827.50	1.99	
1830.00	1.99	
1832.50	1.99	
1835.00	1.99	
1837.50	1.99	
1840.00	1.99	
1842.50	1.99	
1845.00	1.99	
1847.50	1.99	
1850.00	1.99	
1852.50	1.99	
1855.00	1.99	
1857.50	2.00	
1860.00	2.00	
1862.50	2.00	
1865.00	2.00	
1867.50	2.00	
1870.00	2.00	
1872.50	2.00	
1875.00	2.00	
1877.50	2.00	
1880.00	2.00	
1882.50	2.00	
1885.00	2.00	
1887.50	2.00	
1890.00	2.00	
1892.50	2.00	
1895.00	2.00	
1897.50	2.00	
1900.00	2.00	
1902.50	2.00	
1905.00	2.00	
1907.50	2.00	
1910.00	2.00	
1912.50	2.00	
1915.00	2.00	
1917.50	2.00	
1920.00	2.00	
1922.50	2.00	
1925.00	2.00	
1927.50	2.00	
1930.00	2.00	
1932.50	2.00	
1935.00	2.00	
1937.50	2.00	
1940.00	2.00	
1942.50	2.00	
1945.00	2.00	
1947.50	2.00	
1950.00	2.00	
1952.50	2.00	
1955.00	2.00	
1957.50	2.00	
1960.00	2.00	
1962.50	2.00	
1965.00	2.00	
1967.50	2.00	
1970.00	2.00	
1972.50	2.00	
1975.00	2.00	
1977.50	2.00	
1980.00	2.00	
1982.50	2.00	
1985.00	2.00	
1987.50	2.00	
1990.00	2.00	
1992.50	2.00	
1995.00	2.00	
1997.50	2.00	
2000.00	2.00	
2002.50	2.00	
2005.00	2.00	
2007.50	2.00	
2010.00	2.00	
2012.50	2.00	
2015.00	2.00	
2017.50	2.00	
2020.00	1.99	
2022.50	1.99	
2025.00	1.99	
2027.50	1.99	
2030.00	1.99	
2032.50	1.99	
2035.00	1.99	
2037.50	1.99	
2040.00	1.99	
2042.50	1.99	
2045.00	1.99	
2047.50	1.99	
2050.00	1.99	
2052.50	1.99	
2055.00	1.99	
2057.50	1.99	
2060.00	1.99	
2062.50	1.99	
2065.00	1.99	
2067.50	1.99	
2070.00	1.99	
2072.50	1.99	
2075.00	1.99	
