 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
3.00	0.00	
6.00	0.00	
9.00	0.00	
12.00	0.00	
15.00	0.00	
18.00	0.00	
21.00	0.01	
24.00	0.01	
27.00	0.01	
30.00	0.01	
33.00	0.01	
36.00	0.01	
39.00	0.01	
42.00	0.01	
45.00	0.01	
48.00	0.01	
51.00	0.01	
54.00	0.01	
57.00	0.01	
60.00	0.01	
63.00	0.02	
66.00	0.02	
69.00	0.02	
72.00	0.02	
75.00	0.02	
78.00	0.02	
81.00	0.02	
84.00	0.02	
87.00	0.02	
90.00	0.02	
93.00	0.02	
96.00	0.02	
99.00	0.02	
102.00	0.02	
105.00	0.03	
108.00	0.03	
111.00	0.03	
114.00	0.03	
117.00	0.03	
120.00	0.03	
123.00	0.03	
126.00	0.03	
129.00	0.03	
132.00	0.03	
135.00	0.03	
138.00	0.03	
141.00	0.03	
144.00	0.04	
147.00	0.04	
150.00	0.04	
153.00	0.04	
156.00	0.04	
159.00	0.04	
162.00	0.04	
165.00	0.04	
168.00	0.04	
171.00	0.04	
174.00	0.04	
177.00	0.04	
180.00	0.04	
183.00	0.04	
186.00	0.05	
189.00	0.05	
192.00	0.05	
195.00	0.05	
198.00	0.05	
201.00	0.05	
204.00	0.05	
207.00	0.05	
210.00	0.05	
213.00	0.05	
216.00	0.05	
219.00	0.05	
222.00	0.05	
225.00	0.06	
228.00	0.06	
231.00	0.06	
234.00	0.06	
237.00	0.06	
240.00	0.06	
243.00	0.06	
246.00	0.06	
249.00	0.06	
252.00	0.06	
255.00	0.06	
258.00	0.06	
261.00	0.06	
264.00	0.07	
267.00	0.07	
270.00	0.07	
273.00	0.07	
276.00	0.07	
279.00	0.07	
282.00	0.07	
285.00	0.07	
288.00	0.07	
291.00	0.07	
294.00	0.07	
297.00	0.07	
300.00	0.07	
303.00	0.08	
306.00	0.08	
309.00	0.08	
312.00	0.08	
315.00	0.08	
318.00	0.08	
321.00	0.08	
324.00	0.08	
327.00	0.08	
330.00	0.08	
333.00	0.08	
336.00	0.08	
339.00	0.08	
342.00	0.09	
345.00	0.09	
348.00	0.09	
351.00	0.09	
354.00	0.09	
357.00	0.09	
360.00	0.09	
363.00	0.09	
366.00	0.09	
369.00	0.09	
372.00	0.09	
375.00	0.09	
378.00	0.10	
381.00	0.10	
384.00	0.10	
387.00	0.10	
390.00	0.10	
393.00	0.10	
396.00	0.10	
399.00	0.10	
402.00	0.10	
405.00	0.10	
408.00	0.10	
411.00	0.10	
414.00	0.11	
417.00	0.11	
420.00	0.11	
423.00	0.11	
426.00	0.11	
429.00	0.11	
432.00	0.11	
435.00	0.11	
438.00	0.11	
441.00	0.11	
444.00	0.11	
447.00	0.11	
450.00	0.12	
453.00	0.12	
456.00	0.12	
459.00	0.12	
462.00	0.12	
465.00	0.12	
